doc_idx,ArticleID,group,Readability,total_bigrams
0,9,0,6,78
1,24,0,6,98
2,60,0,5,61
3,102,0,6,33
4,119,0,6,60
5,186,0,5,98
6,204,0,6,74
7,220,0,6,35
8,225,0,6,36
9,230,0,6,57
10,284,0,6,140
11,302,0,6,29
12,303,0,5,43
13,307,0,5,120
14,309,0,6,64
15,335,0,6,79
16,343,0,6,98
17,384,0,6,50
18,403,0,6,116
19,404,0,5,58
20,440,0,4,37
21,445,0,5,101
22,463,0,5,79
23,481,0,6,190
24,487,0,6,114
25,496,0,6,138
26,507,0,6,54
27,543,0,6,36
28,565,0,6,45
29,574,0,6,105
30,585,0,6,86
31,593,0,6,77
32,596,0,6,96
33,692,0,6,65
34,734,0,6,113
35,761,0,4,29
36,776,0,6,48
37,802,0,6,57
38,856,0,6,77
39,1019,0,6,62
40,1120,0,6,52
41,1146,0,6,46
42,1167,0,6,52
43,2222,0,6,39
44,2240,0,6,30
45,2255,0,6,49
46,2264,0,4,29
47,2266,0,6,38
48,2268,0,5,55
49,2309,0,6,52
50,2320,0,4,65
51,2328,0,6,55
52,2339,0,6,39
53,2345,0,6,39
54,2370,0,6,55
55,2374,0,6,39
56,2392,0,6,31
57,2394,0,6,55
58,2406,0,6,45
59,2459,0,5,56
60,2477,0,6,39
61,2516,0,6,53
62,2524,0,6,28
63,2534,0,5,50
64,2557,0,5,36
65,2577,0,6,35
66,2614,0,6,48
67,2624,0,6,48
68,2669,0,6,45
69,2716,0,6,59
70,2742,0,6,23
71,2786,0,6,48
72,2795,0,5,95
73,2811,0,5,57
74,2817,0,6,25
75,2827,0,6,46
76,2841,0,6,79
77,2842,0,6,36
78,2890,0,6,61
79,2901,0,6,25
80,2907,0,6,81
81,2951,0,6,42
82,2985,0,4,144
83,3018,0,6,113
84,3026,0,6,51
85,3032,0,6,90
86,3034,0,5,80
87,3038,0,4,53
88,3040,0,6,52
89,3044,0,5,64
90,3049,0,5,63
91,3066,0,6,100
92,3093,0,6,52
93,3104,0,6,39
94,3111,0,6,50
95,3155,0,6,61
96,3157,0,6,46
97,3158,0,6,80
98,3160,0,6,47
99,3166,0,5,54
100,3194,0,6,74
101,3199,0,6,37
102,3209,0,4,55
103,3245,0,6,43
104,3248,0,6,55
105,3301,0,6,21
106,3337,0,6,63
107,3340,0,6,37
108,3350,0,6,43
109,3361,0,4,63
110,3375,0,6,33
111,3419,0,6,43
112,3424,0,6,42
113,3426,0,6,40
114,3432,0,6,42
115,3457,0,6,58
116,3471,0,6,68
117,3514,0,6,25
118,3526,0,6,52
119,3532,0,6,54
120,3560,0,6,65
121,3564,0,6,62
122,3565,0,5,73
123,3569,0,6,53
124,3570,0,6,112
125,3572,0,6,86
126,3600,0,6,59
127,3606,0,6,41
128,3636,0,6,43
129,3654,0,6,124
130,3668,0,6,78
131,3691,0,6,49
132,3732,0,6,54
133,3737,0,6,43
134,3772,0,6,96
135,3780,0,6,70
136,3791,0,6,53
137,3795,0,6,64
138,3806,0,6,58
139,3846,0,6,46
140,3863,0,6,78
141,3881,0,5,96
142,3896,0,3,45
143,3920,0,5,46
144,3948,0,6,72
145,3984,0,6,64
146,3991,0,4,45
147,3999,0,4,78
148,4100,0,6,71
149,4103,0,6,69
150,4111,0,6,72
151,4119,0,6,124
152,4133,0,4,94
153,4151,0,5,48
154,4202,0,6,57
155,4236,0,6,69
156,4260,0,4,88
157,4271,0,5,97
158,4289,0,6,74
159,4298,0,6,105
160,4330,0,6,33
161,4336,0,6,80
162,4347,0,6,59
163,4356,0,6,27
164,4365,0,6,92
165,4368,0,6,36
166,4371,0,6,77
167,4374,0,6,42
168,4465,0,6,44
169,4482,0,6,40
170,4514,0,6,53
171,4530,0,6,59
172,4567,0,6,137
173,4578,0,6,51
174,4606,0,6,39
175,4642,0,6,83
176,4652,0,6,37
177,4655,0,6,67
178,4659,0,6,40
179,4756,0,6,57
180,4765,0,4,39
181,4796,0,6,39
182,4802,0,5,32
183,4820,0,6,48
184,4852,0,6,40
185,4855,0,6,63
186,4885,0,6,36
187,4951,0,6,53
188,4974,0,6,45
189,5056,0,5,45
190,5212,0,6,42
191,5235,0,6,47
192,5434,0,6,32
193,5453,0,6,45
194,5485,0,6,39
195,5521,0,6,39
196,5786,0,6,33
197,5801,0,6,29
198,5835,0,6,50
199,5946,0,6,36
200,5977,0,5,47
201,5987,0,6,38
202,6021,0,6,38
203,6053,0,6,59
204,6058,0,5,46
205,6069,0,6,47
206,6077,0,6,37
207,6084,0,4,42
208,6106,0,6,55
209,6132,0,6,47
210,6147,0,6,42
211,6161,0,6,96
212,6170,0,6,53
213,6188,0,6,62
214,6193,0,6,43
215,6212,0,5,49
216,6246,0,6,38
217,6262,0,6,45
218,6362,0,6,45
219,6382,0,6,48
220,6394,0,6,46
221,6437,0,6,54
222,6446,0,6,53
223,6602,0,6,87
224,6640,0,6,49
225,6645,0,6,65
226,6685,0,6,85
227,6705,0,4,47
228,6731,0,6,55
229,6739,0,6,36
230,6742,0,6,53
231,6745,0,6,63
232,6763,0,5,67
233,6783,0,6,55
234,6794,0,6,69
235,6805,0,6,49
236,6831,0,5,40
237,6861,0,6,55
238,6913,0,6,44
239,6917,0,6,57
240,6940,0,5,60
241,6957,0,6,49
242,6994,0,5,57
243,7019,0,6,52
244,7035,0,6,62
245,7071,0,6,31
246,7072,0,6,59
247,7074,0,6,62
248,7075,0,4,57
249,7094,0,6,46
250,7117,0,6,85
251,7139,0,6,47
252,7198,0,6,52
253,7212,0,6,58
254,7217,0,6,47
255,7218,0,6,44
256,7241,0,5,63
257,7248,0,6,60
258,7288,0,6,43
259,7351,0,6,43
260,7386,0,6,51
261,7415,0,6,80
262,7418,0,6,41
263,7438,0,6,44
264,7449,0,6,42
265,7452,0,6,61
266,7453,0,6,62
267,7457,0,6,51
268,7462,0,5,50
269,7475,0,6,45
270,7507,0,6,48
271,7524,0,6,55
272,7568,0,6,56
273,7577,0,5,39
274,7579,0,6,46
275,7644,0,5,44
276,7708,0,6,71
277,7722,0,6,26
278,7791,0,6,75
279,7801,0,6,57
280,7813,0,6,39
281,7832,0,6,68
282,7836,0,5,62
283,7867,0,6,75
284,7908,0,6,56
285,7911,0,6,61
286,7913,0,6,108
287,7942,0,6,48
288,7994,0,6,51
289,8015,0,5,43
290,8031,0,6,25
291,8045,0,6,36
292,8068,0,6,40
293,8109,0,4,43
294,8115,0,6,50
295,8129,0,6,32
296,8147,0,6,44
297,8154,0,6,51
298,8174,0,6,58
299,8202,0,4,70
300,8205,0,6,106
301,8233,0,6,91
302,8238,0,6,92
303,8248,0,6,42
304,8249,0,6,79
305,8258,0,6,78
306,8278,0,6,27
307,8303,0,6,39
308,8310,0,6,94
309,8323,0,6,52
310,8324,0,4,51
311,8327,0,6,41
312,8344,0,5,118
313,8369,0,6,49
314,8373,0,4,63
315,8401,0,5,71
316,8403,0,6,55
317,8412,0,6,88
318,8439,0,6,45
319,8442,0,5,62
320,8461,0,3,44
321,8464,0,4,62
322,8516,0,5,121
323,8521,0,6,82
324,8563,0,6,131
325,8580,0,6,82
326,8643,0,5,44
327,8670,0,6,38
328,8702,0,6,56
329,8719,0,5,87
330,8775,0,6,139
331,9245,0,6,44
332,9282,0,4,26
333,9297,0,6,89
334,9420,0,6,54
335,9436,0,6,92
336,9460,0,6,117
337,9471,0,5,59
338,9528,0,6,28
339,9529,0,6,21
340,9534,0,6,34
341,9548,0,6,31
342,9606,0,6,91
343,9610,0,6,67
344,9623,0,6,82
345,9656,0,6,61
346,9669,0,6,40
347,9675,0,6,48
348,9685,0,5,53
349,2185,0,4,38
350,2188,0,6,45
351,2191,0,6,39
352,2193,0,6,22
353,2202,0,6,38
354,2205,0,6,38
355,2209,0,6,27
356,2212,0,6,28
357,2213,0,6,42
358,2218,0,6,38
359,2219,0,6,23
360,2236,0,4,34
361,2241,0,6,34
362,2243,0,4,44
363,2248,0,6,18
364,2249,0,6,36
365,2251,0,4,30
366,2270,0,5,34
367,2274,0,6,37
368,2276,0,6,29
369,2277,0,6,37
370,2285,0,6,16
371,2290,0,6,18
372,2297,0,6,34
373,2319,0,3,26
374,2321,0,6,42
375,2326,0,6,40
376,2327,0,4,34
377,2330,0,4,37
378,2331,0,6,37
379,2337,0,6,24
380,2338,0,6,32
381,2340,0,6,23
382,2344,0,6,31
383,2352,0,6,21
384,2364,0,6,24
385,2373,0,6,20
386,2376,0,6,60
387,2378,0,6,36
388,2380,0,6,17
389,2381,0,6,29
390,2385,0,6,38
391,2387,0,5,44
392,2389,0,6,33
393,2395,0,6,41
394,2396,0,6,31
395,2400,0,5,36
396,2403,0,4,18
397,2405,0,6,48
398,2411,0,5,33
399,2412,0,6,21
400,2420,0,5,51
401,2423,0,3,64
402,2427,0,6,33
403,2431,0,5,46
404,2432,0,6,32
405,2437,0,6,23
406,2438,0,6,39
407,2441,0,6,22
408,2448,0,6,37
409,2449,0,6,45
410,2450,0,6,35
411,2451,0,6,27
412,2454,0,6,49
413,2462,0,5,39
414,2471,0,6,49
415,2475,0,6,32
416,2478,0,6,54
417,2480,0,6,51
418,2487,0,6,51
419,2489,0,6,48
420,2490,0,6,42
421,2494,0,6,40
422,2496,0,6,46
423,2502,0,4,45
424,2505,0,4,51
425,2519,0,6,42
426,2522,0,6,33
427,2526,0,6,37
428,2530,0,6,15
429,2541,0,6,30
430,2547,0,6,37
431,2558,0,6,28
432,2567,0,6,49
433,2568,0,6,47
434,2589,0,6,54
435,2591,0,5,47
436,2592,0,6,44
437,2596,0,6,52
438,2600,0,6,19
439,2612,0,6,34
440,2615,0,6,43
441,2627,0,6,53
442,2630,0,4,41
443,2667,0,6,54
444,2683,0,6,44
445,2695,0,6,38
446,2707,0,6,52
447,2708,0,5,43
448,2710,0,6,38
449,2712,0,6,48
450,2718,0,5,19
451,2722,0,6,36
452,2728,0,6,38
453,2736,0,6,60
454,2740,0,5,39
455,2755,0,6,50
456,2762,0,6,43
457,2767,0,6,26
458,2779,0,6,49
459,2780,0,6,39
460,2782,0,6,40
461,2784,0,6,51
462,2791,0,6,47
463,2793,0,6,24
464,4689,0,5,47
465,4697,0,5,32
466,4702,0,6,33
467,4709,0,6,40
468,4714,0,6,27
469,4722,0,6,33
470,4736,0,5,33
471,4737,0,6,27
472,4754,0,6,31
473,4760,0,6,40
474,4775,0,6,30
475,4778,0,6,35
476,4793,0,6,33
477,4797,0,6,46
478,4816,0,6,42
479,4821,0,6,49
480,4822,0,6,46
481,4836,0,6,52
482,4841,0,6,68
483,4853,0,6,31
484,4858,0,6,49
485,4866,0,6,53
486,4869,0,6,83
487,4875,0,6,113
488,4881,0,6,55
489,4882,0,6,27
490,4883,0,6,47
491,4890,0,5,32
492,4901,0,6,40
493,4902,0,6,34
494,4926,0,6,53
495,4933,0,5,72
496,4940,0,6,40
497,4942,0,6,51
498,4944,0,6,31
499,4947,0,6,59
500,4959,0,5,41
501,4968,0,6,31
502,4970,0,6,25
503,4987,0,6,32
504,4999,0,6,45
505,5008,0,6,31
506,5012,0,6,33
507,5015,0,6,30
508,5024,0,6,33
509,5029,0,6,39
510,5039,0,6,26
511,5058,0,5,30
512,5059,0,6,40
513,5065,0,6,25
514,5082,0,6,35
515,5217,0,6,34
516,5229,0,6,38
517,5233,0,6,30
518,5282,0,6,45
519,5289,0,6,40
520,5295,0,6,30
521,5306,0,6,32
522,5445,0,6,39
523,5462,0,6,35
524,5468,0,4,46
525,5476,0,6,39
526,5479,0,6,44
527,5486,0,6,30
528,5507,0,6,44
529,5530,0,4,38
530,5542,0,6,37
531,5543,0,6,41
532,5682,0,6,23
533,5683,0,6,29
534,5722,0,6,36
535,5724,0,6,53
536,5729,0,4,36
537,5730,0,6,32
538,5757,0,6,17
539,5763,0,6,45
540,5766,0,6,21
541,5778,0,6,43
542,5783,0,6,31
543,5785,0,5,33
544,5794,0,5,46
545,5797,0,6,38
546,5812,0,6,51
547,5815,0,6,41
548,5820,0,6,35
549,5964,0,6,20
550,5983,0,6,46
551,5991,0,6,39
552,6010,0,6,36
553,6022,0,6,35
554,6024,0,6,49
555,6025,0,4,55
556,6036,0,6,44
557,6063,0,6,37
558,6068,0,6,39
559,6071,0,6,36
560,6078,0,6,42
561,6086,0,6,45
562,6089,0,5,42
563,6095,0,4,46
564,6096,0,5,45
565,6100,0,5,35
566,6107,0,6,54
567,6108,0,4,62
568,6124,0,6,49
569,6141,0,6,33
570,6155,0,6,35
571,6159,0,6,52
572,6174,0,6,50
573,6175,0,6,57
574,6185,0,6,26
575,6189,0,6,62
576,6202,0,6,48
577,6235,0,6,31
578,6238,0,6,35
579,6239,0,6,49
580,6243,0,6,36
581,6244,0,6,40
582,6247,0,6,30
583,6265,0,6,39
584,6267,0,6,36
585,6268,0,6,38
586,6281,0,5,30
587,6295,0,6,51
588,6297,0,6,31
589,6304,0,6,51
590,6313,0,5,32
591,6315,0,6,39
592,6327,0,5,62
593,6349,0,4,29
594,6367,0,6,42
595,6375,0,6,33
596,6377,0,6,40
597,6385,0,6,48
598,6386,0,6,37
599,6396,0,6,30
600,6397,0,6,30
601,6403,0,5,42
602,6408,0,6,45
603,6427,0,6,39
604,6434,0,6,58
605,9240,0,5,50
606,9424,0,5,34
607,9479,0,6,37
608,9487,0,6,25
609,9493,0,6,38
610,9494,0,6,42
611,9501,0,6,39
612,9508,0,6,38
613,9545,0,6,45
614,9546,0,4,41
615,9547,0,6,37
616,9557,0,6,41
617,9559,0,6,37
618,9560,0,6,48
619,9564,0,6,38
620,9566,0,6,28
621,9567,0,6,28
622,9569,0,6,27
623,9575,0,6,42
624,9582,0,6,63
625,9587,0,6,36
626,9589,0,6,65
627,9590,0,6,28
628,9599,0,6,34
629,9601,0,6,35
630,3,0,4,43
631,4,0,6,52
632,6,0,5,59
633,8,0,5,91
634,10,0,4,76
635,11,0,6,95
636,12,0,3,58
637,13,0,6,72
638,15,0,6,46
639,16,0,4,34
640,20,0,5,57
641,25,0,4,21
642,26,0,6,104
643,27,0,5,65
644,28,0,4,76
645,31,0,4,67
646,32,0,6,75
647,33,0,6,95
648,34,0,6,72
649,35,0,5,49
650,38,0,6,64
651,39,0,6,78
652,41,0,3,143
653,43,0,5,58
654,46,0,4,56
655,47,0,6,34
656,48,0,5,85
657,49,0,4,57
658,50,0,5,51
659,51,0,5,39
660,52,0,6,123
661,53,0,6,41
662,55,0,4,31
663,56,0,6,83
664,61,0,6,54
665,63,0,4,78
666,64,0,4,47
667,65,0,5,139
668,66,0,4,57
669,68,0,6,37
670,70,0,6,34
671,71,0,6,23
672,73,0,6,60
673,74,0,6,29
674,75,0,6,41
675,78,0,6,64
676,79,0,6,59
677,80,0,4,55
678,81,0,4,68
679,82,0,4,88
680,83,0,5,65
681,85,0,6,56
682,88,0,6,63
683,89,0,6,74
684,90,0,5,61
685,91,0,3,20
686,92,0,6,50
687,93,0,4,83
688,95,0,5,111
689,96,0,6,76
690,97,0,6,95
691,98,0,5,41
692,99,0,6,43
693,109,0,6,75
694,110,0,6,70
695,111,0,5,48
696,113,0,6,80
697,115,0,4,200
698,116,0,6,40
699,118,0,6,61
700,121,0,6,50
701,122,0,5,89
702,124,0,4,30
703,125,0,5,50
704,126,0,5,47
705,127,0,6,51
706,128,0,5,39
707,130,0,4,155
708,131,0,6,36
709,132,0,5,43
710,133,0,6,119
711,134,0,6,68
712,136,0,6,97
713,143,0,3,29
714,144,0,6,58
715,145,0,6,48
716,149,0,5,47
717,150,0,4,37
718,151,0,6,48
719,152,0,4,65
720,154,0,4,63
721,157,0,4,64
722,160,0,6,72
723,161,0,5,35
724,162,0,5,61
725,163,0,6,55
726,164,0,6,44
727,166,0,6,36
728,167,0,6,49
729,168,0,4,90
730,171,0,6,50
731,172,0,6,40
732,174,0,6,27
733,175,0,5,85
734,176,0,6,35
735,177,0,4,112
736,179,0,6,42
737,180,0,4,53
738,181,0,6,88
739,182,0,6,30
740,184,0,4,169
741,187,0,5,67
742,189,0,6,63
743,190,0,5,82
744,191,0,6,91
745,192,0,5,57
746,193,0,6,111
747,194,0,5,58
748,195,0,6,61
749,196,0,5,40
750,199,0,5,62
751,200,0,4,86
