phrase_idx,phrase,n_docs,total_count
0,of_the,3897,7849
1,in_the,2991,4675
2,this_paper,2615,2733
3,to_the,1674,2173
4,on_the,1640,2093
5,and_the,1596,1952
6,that_the,1585,1950
7,for_the,1342,1707
8,it_is,1032,1238
9,in_which,941,1115
10,show_that,900,1045
11,with_the,895,1013
12,to_be,866,1006
13,can_be,834,1001
14,the_model,703,864
15,we_find,740,831
16,by_the,733,826
17,model_of,760,813
18,in_this,736,795
19,from_the,715,778
20,we_show,668,750
21,find_that,661,721
22,number_of,520,669
23,based_on,558,631
24,of_this,561,624
25,is_shown,523,575
26,changes_in,419,547
27,effects_of,468,542
28,as_the,491,529
29,there_is,452,522
30,is_the,455,512
31,the_paper,452,509
32,the_same,436,489
33,set_of,372,479
34,the_results,447,479
35,when_the,415,475
36,may_be,427,470
37,rate_of,294,463
38,consistent_with,419,448
39,shown_that,404,438
40,effect_of,372,436
41,theory_of,358,427
42,of_an,391,426
43,at_the,365,418
44,distribution_of,337,416
45,which_the,382,416
46,of_these,382,404
47,used_to,378,400
48,does_not,370,394
49,if_the,337,388
50,that_is,361,385
51,is_that,353,384
52,the_effects,325,372
53,is_not,342,369
54,the_effect,324,365
55,increase_in,286,362
56,model_is,323,359
57,between_the,328,351
58,the_first,317,350
59,as_well,329,346
60,long_run,243,346
61,such_as,323,346
62,that_are,309,345
63,the_optimal,253,341
64,the_market,264,333
65,value_of,261,321
66,the_united,261,316
67,shown_to,284,315
68,do_not,297,313
69,in_an,287,310
70,the_number,234,310
71,has_been,262,309
72,terms_of,248,309
73,and_that,294,308
74,is_to,279,307
75,than_the,282,307
76,well_as,291,307
77,united_states,258,304
78,about_the,275,303
79,we_also,294,303
80,suggest_that,285,300
81,we_study,281,287
82,the_theory,235,284
83,are_not,260,279
84,the_data,239,278
85,due_to,250,277
86,use_of,242,277
87,data_on,263,276
88,analysis_of,253,273
89,properties_of,246,272
90,demand_for,206,269
91,differences_in,199,269
92,existence_of,233,269
93,associated_with,246,268
94,relative_to,236,267
95,cost_of,227,266
96,the_price,201,264
97,impact_of,233,263
98,likely_to,222,263
99,the_analysis,241,261
100,the_existence,228,261
101,level_of,230,260
102,which_is,234,259
103,estimates_of,222,258
104,over_the,244,257
105,the_distribution,210,256
106,class_of,228,254
107,the_two,228,254
108,will_be,208,251
109,in_particular,248,250
110,shows_that,232,249
111,data_from,239,247
112,there_are,235,246
113,in_terms,212,245
114,results_are,234,243
115,model_with,233,242
116,and_in,233,241
117,paper_we,234,240
118,the_rate,171,240
119,have_been,211,238
120,the_impact,219,238
121,and_to,227,237
122,rather_than,224,236
123,model_in,227,235
124,models_of,215,233
125,paper_examines,232,232
126,behavior_of,210,230
127,paper_is,222,230
128,the_equilibrium,194,230
129,relationship_between,207,229
130,general_equilibrium,197,227
131,least_squares,166,227
132,presence_of,202,227
133,the_other,211,227
134,the_presence,199,223
135,over_time,198,221
136,labor_market,166,220
137,we_use,215,220
138,that_in,207,217
139,time_series,162,215
140,study_the,211,213
141,the_set,156,212
142,where_the,185,212
143,the_demand,161,211
144,the_case,193,209
145,the_second,185,209
146,this_is,200,208
147,is_an,198,207
148,paper_presents,205,207
149,effect_on,188,206
150,that_this,198,206
151,the_economy,176,205
152,suggests_that,200,204
153,they_are,186,204
154,lead_to,192,203
155,of_their,189,203
156,during_the,167,202
157,the_problem,181,201
158,the_value,163,201
159,implications_of,192,200
160,we_develop,193,198
161,human_capital,123,196
162,paper_develops,196,196
163,respect_to,167,194
164,under_the,176,194
165,our_results,184,193
166,percent_of,166,193
167,with_respect,166,193
168,evidence_that,181,192
169,these_results,191,192
170,more_than,184,191
171,of_economic,173,190
172,role_of,178,190
173,variation_in,165,189
174,which_are,181,189
175,leads_to,177,188
176,applied_to,175,187
177,of_trade,132,187
178,short_run,143,187
179,form_of,173,184
180,as_an,174,183
181,degree_of,160,183
182,rates_of,149,183
183,change_in,148,182
184,prices_and,164,182
185,exchange_rate,88,181
186,is_also,181,181
187,of_labor,149,181
188,the_relationship,168,181
189,the_standard,163,181
190,we_consider,175,181
191,is_used,172,180
192,of_capital,121,180
193,the_role,172,180
194,conditions_for,158,178
195,costs_of,154,178
196,at_least,164,175
197,the_empirical,161,175
198,examines_the,172,174
199,estimate_the,161,173
200,types_of,157,173
201,we_examine,170,173
202,depends_on,169,172
203,function_of,149,171
204,private_information,115,171
205,related_to,155,171
206,the_long,140,171
