doc_idx,ArticleID,group,Readability,Readability_resid,total_bigrams
0,60,0,5,-1.268259285191566,37
1,186,0,5,-1.3136943225417532,65
2,303,0,5,-0.8992272419112819,26
3,307,0,5,-1.1861337362712927,79
4,2374,0,6,-1.0247414337943184,24
5,2394,0,6,-1.0469326017920384,43
6,2406,0,6,-1.4068483575896256,34
7,2459,0,5,-2.0398313845485827,42
8,2477,0,6,-1.1819132224034092,27
9,2483,0,7,-0.8584362074256431,36
10,2516,0,6,-0.9257104905741302,36
11,2524,0,6,-1.2201747259951823,20
12,2534,0,5,-2.1669056031066276,29
13,2557,0,5,-2.504613296249227,28
14,2577,0,6,-1.1941162358933468,17
15,2604,0,7,-0.878569162045812,24
16,2614,0,6,-1.31408800722234,31
17,2624,0,6,-1.3353033679467305,30
18,2686,0,7,-0.8423999958829604,20
19,2702,0,7,-0.8770304826617519,43
20,2716,0,6,-1.6074619747108096,35
21,2729,0,7,-1.09183937026617,12
22,2742,0,6,-0.9441698491770358,14
23,2775,0,7,-1.383578233068409,20
24,2786,0,6,-1.3529855628106855,33
25,2795,0,5,-2.224176551696769,76
26,2811,0,5,-2.0603223789132867,34
27,2817,0,6,-0.9280718436181061,16
28,2827,0,6,-1.5426825109083584,30
29,2841,0,6,-1.4055057153425228,56
30,2842,0,6,-1.3408999801157808,24
31,2890,0,6,-0.9863977448294943,41
32,2907,0,6,-1.8102414451407727,56
33,2985,0,4,-3.465601528634692,100
34,3018,0,6,-1.1204484283464957,70
35,3034,0,5,-2.027355481874708,56
36,3038,0,4,-3.416954941957785,41
37,3040,0,6,-0.8509151330141096,32
38,3044,0,5,-1.5131675048734978,41
39,3049,0,5,-1.995254566020943,47
40,3066,0,6,-1.2753640644889224,52
41,3093,0,6,-0.9711854285618404,38
42,3104,0,6,-1.5911156705183886,21
43,3111,0,6,-1.4176708162906664,36
44,3155,0,6,-1.4201334033760373,46
45,3157,0,6,-0.9165737440588169,29
46,3158,0,6,-1.676774731822639,58
47,3160,0,6,-1.5577579428376485,29
48,3166,0,5,-2.122112863634002,37
49,3194,0,6,-1.842344262602026,50
50,3199,0,6,-1.7234834731823883,23
51,3209,0,4,-3.176445217797462,44
52,3245,0,6,-1.2672250470748603,32
53,3248,0,6,-1.277724747804112,33
54,3254,0,7,-1.3007853865565728,52
55,3281,0,7,-0.8959834387346017,31
56,3288,0,7,-1.0488562447288992,30
57,3295,0,7,-0.8792979573463393,46
58,3301,0,6,-1.0600927867767664,19
59,3337,0,6,-1.3711380569808886,48
60,3340,0,6,-1.4559587807978058,26
61,3350,0,6,-1.9999796360991935,32
62,3361,0,4,-3.5102239893813225,50
63,3375,0,6,-1.806972204982518,22
64,3383,0,7,-0.8590390998829793,32
65,3419,0,6,-1.6449855970746698,33
66,3424,0,6,-1.0407174990916142,32
67,3457,0,6,-1.774447490287411,48
68,3470,0,7,-1.2083582559382542,18
69,3471,0,6,-1.9451357640454097,42
70,3492,0,7,-1.347002401748874,19
71,3503,0,7,-1.2397665574892525,25
72,3514,0,6,-1.3108390504679885,17
73,3517,0,7,-1.0869389802242626,26
74,3526,0,6,-1.3633075933840315,39
75,3529,0,7,-0.8358663767235832,24
76,3532,0,6,-2.0747638508837607,39
77,3535,0,7,-1.218782942084209,35
78,3564,0,6,-1.0844556225411708,42
79,3565,0,5,-1.5581196146294447,52
80,3570,0,6,-1.1967641779658225,79
81,3600,0,6,-2.3944910219441127,40
82,3606,0,6,-1.317895819005539,27
83,3636,0,6,-2.209070400364208,33
