doc_idx,phrase_idx,count
0,2,1
0,170,1
0,1160,1
0,364,1
0,31,1
0,70,1
0,6,1
0,960,1
0,1949,1
0,2144,1
0,2013,1
0,491,1
0,1541,1
0,906,1
0,336,1
0,366,1
0,353,1
0,1265,1
0,710,1
0,406,1
0,105,1
0,2010,1
0,148,1
0,179,1
0,451,1
0,62,1
0,86,1
0,0,2
0,1157,1
0,138,1
0,1882,1
0,1376,1
0,926,1
0,470,1
0,183,1
0,1719,1
1,199,1
1,43,1
1,519,1
1,227,1
1,784,1
1,126,1
1,7,1
1,309,1
1,116,1
1,1,2
1,673,2
1,150,1
1,613,1
1,795,1
1,241,1
1,1090,1
1,291,1
1,193,1
1,63,1
1,99,1
1,93,1
1,9,1
1,41,1
1,1236,1
1,982,1
1,1202,1
1,1172,1
1,1518,1
1,555,1
1,609,2
1,776,1
1,655,1
1,0,2
1,2363,1
1,103,1
1,10,1
1,13,1
1,108,1
1,4,1
1,129,1
1,483,1
1,884,1
1,59,1
1,343,1
1,12,2
1,1921,1
1,1017,1
1,2244,1
1,697,1
1,642,1
1,1626,1
1,928,1
1,39,1
1,2038,1
1,1335,1
1,450,1
1,2156,1
1,25,1
1,1205,1
1,1112,1
2,1284,1
2,460,1
2,2386,1
2,1069,1
2,2309,1
2,808,1
2,1210,1
2,0,1
2,24,1
2,2,1
2,173,1
2,154,1
2,223,1
2,295,1
2,541,1
2,495,1
2,48,1
2,2135,1
2,18,1
2,11,1
2,8,1
2,187,1
2,647,1
2,476,1
2,4,1
2,1872,1
3,2,1
3,678,1
3,14,3
3,105,1
3,77,1
3,2209,2
3,67,3
3,1719,1
3,1655,1
3,508,1
3,1058,1
3,784,2
3,126,2
3,1421,1
3,304,1
3,0,2
3,1344,2
3,1542,1
3,1718,1
3,1607,3
3,1099,3
3,133,1
3,368,1
3,220,1
3,406,1
3,84,1
3,961,1
3,2290,1
3,62,1
3,2177,1
3,236,1
3,134,1
3,1,3
3,683,1
3,2061,2
3,19,3
3,1313,1
3,1134,1
3,27,1
3,436,1
3,73,1
3,1149,1
3,175,1
3,49,2
3,910,1
3,763,1
3,950,1
3,644,1
3,16,1
3,32,1
3,957,1
3,2294,1
3,1850,1
3,842,1
3,36,1
3,752,1
3,34,1
3,393,1
3,326,1
3,1748,1
4,0,2
4,1386,1
4,196,3
4,1397,3
4,1,1
4,166,1
4,1746,1
4,2166,1
4,817,1
4,54,1
4,1361,1
4,676,1
4,1343,1
4,1297,1
4,4,1
4,256,1
4,1599,1
4,114,1
4,1691,1
5,798,1
5,690,1
5,350,1
5,512,2
5,2,1
5,438,1
5,46,1
5,713,1
5,75,1
5,1028,1
5,1474,1
5,175,2
5,1748,1
5,2058,2
5,5,1
5,1492,1
5,1433,2
5,558,2
5,1170,2
5,406,1
5,1827,1
5,454,1
5,972,1
5,222,2
5,123,1
5,169,1
5,26,1
5,1516,1
5,2145,1
5,1047,1
5,86,1
5,43,1
5,289,1
5,531,1
5,0,1
5,1149,1
6,2,1
6,1284,1
6,1140,2
6,2213,2
6,1223,1
6,169,1
6,26,1
6,217,1
6,224,1
6,313,2
6,16,1
6,2018,1
6,585,1
6,2206,1
6,245,1
6,1141,1
6,0,2
6,720,1
6,713,1
6,1587,1
6,647,1
6,476,1
6,4,1
6,422,1
6,235,1
6,1,1
6,56,1
6,200,1
6,591,1
6,164,1
7,2,1
7,606,1
7,287,1
7,674,1
7,181,1
7,178,1
7,5,2
7,6,1
7,1459,1
7,868,1
7,1746,1
7,1,2
7,10,1
7,13,1
7,1848,1
7,767,1
7,1309,1
7,1362,2
7,2200,1
7,332,1
7,971,1
7,145,1
7,271,1
7,26,1
7,138,1
7,2131,1
7,2350,1
7,30,1
7,201,1
7,164,1
7,587,1
7,793,1
7,310,1
7,52,1
7,1852,1
7,76,1
7,355,1
7,255,1
7,2312,1
8,752,1
8,0,1
8,578,1
8,151,1
8,81,1
8,1141,1
8,50,1
8,1074,1
8,393,1
8,17,1
8,91,1
8,85,1
8,2319,1
8,492,1
8,1695,1
8,43,1
8,1270,1
8,698,1
8,188,1
8,1567,1
8,2417,1
8,1414,1
8,1424,1
8,494,1
8,905,1
8,750,1
8,18,1
9,140,1
9,9,1
9,41,1
9,339,1
9,127,1
9,1028,1
9,2064,1
9,25,2
9,1,4
9,692,1
9,215,2
9,38,1
9,281,1
9,2438,1
9,2,1
9,1729,1
9,613,1
9,795,1
9,2110,1
9,778,1
9,2318,1
9,0,1
9,280,1
9,488,1
9,477,1
9,1768,1
9,698,1
9,72,1
9,39,1
9,230,1
9,1043,1
10,106,1
10,2172,1
10,949,1
10,1768,1
10,1863,1
10,396,1
10,517,1
10,113,1
10,1461,1
10,511,1
10,1478,1
10,474,1
10,1572,1
10,1,1
10,1051,1
10,326,2
10,209,1
10,360,1
10,907,1
10,419,1
10,6,1
10,2415,2
10,637,1
10,671,1
10,990,1
10,11,1
10,8,1
10,4,1
10,2431,1
10,1806,1
10,254,1
10,2324,1
10,1257,1
10,1097,1
11,112,1
11,1798,1
11,23,1
11,2309,1
11,808,1
11,1818,1
11,236,1
11,134,1
11,1774,2
11,41,1
11,1055,1
11,788,1
11,1175,1
11,171,1
11,558,1
11,169,1
11,26,1
11,14,1
11,2318,1
12,2,1
12,190,1
12,420,1
12,1154,1
12,1035,1
12,6,1
12,1234,1
12,122,1
12,0,1
12,1586,1
12,351,1
12,9,1
12,1568,1
12,196,2
12,234,1
12,1114,1
12,15,1
12,719,1
12,1550,1
12,126,1
12,7,2
12,860,1
12,2250,1
12,1,1
12,220,1
12,1147,1
12,1307,1
13,1989,1
13,121,1
13,2351,1
13,155,1
13,1464,1
13,1593,1
13,1113,1
13,1116,1
13,1099,1
13,2229,1
13,1120,1
13,97,1
13,745,1
13,24,1
13,114,1
13,1,1
13,372,1
13,310,1
13,1447,1
13,84,1
13,82,1
13,5,1
13,1134,1
13,329,2
13,233,1
13,516,1
13,1207,1
14,14,1
14,121,1
14,0,1
14,58,1
14,868,1
14,343,1
14,1281,1
14,154,1
14,187,1
14,332,1
14,620,1
14,192,1
14,20,1
14,604,1
14,530,1
14,1,1
14,736,1
15,154,1
15,214,1
15,1519,1
15,1824,1
15,233,1
15,144,1
15,54,1
15,1877,1
15,12,1
15,20,1
15,1954,1
15,485,1
15,692,1
15,215,1
15,744,1
15,466,1
15,1,1
15,281,1
15,0,1
15,280,1
15,2292,1
15,2216,1
15,450,1
15,73,1
16,606,2
16,1778,2
16,287,2
16,593,1
16,50,1
16,350,1
16,20,1
16,43,1
16,2,1
16,678,1
16,227,1
16,666,1
16,885,1
16,2009,1
16,1311,1
16,262,1
16,1689,1
16,19,1
16,64,1
16,117,1
16,4,1
16,1912,1
16,410,1
16,784,1
16,126,1
16,234,1
16,698,1
16,0,1
17,1869,1
17,1617,1
17,503,1
17,362,1
17,454,1
17,1274,1
17,598,1
17,138,1
17,1362,1
17,1906,1
17,58,2
17,419,1
17,1252,1
17,0,1
17,105,1
17,267,1
17,771,1
17,732,1
17,11,1
17,8,1
17,4,1
17,14,1
17,489,1
17,320,1
17,2050,1
17,382,1
17,394,1
17,92,1
17,536,1
18,2,1
18,110,1
18,1599,1
18,1169,1
18,633,1
18,704,1
18,681,1
18,195,1
18,2307,1
18,838,1
18,434,1
18,1,2
18,844,1
18,401,1
18,205,1
18,46,1
18,550,1
18,2268,1
18,1856,1
19,332,1
19,346,1
19,640,1
19,58,2
19,1781,1
19,99,1
19,21,1
19,6,1
19,191,1
19,3,1
19,945,1
19,351,1
19,1095,1
19,1309,1
19,132,1
19,2066,1
19,1261,1
19,32,1
19,471,1
19,193,1
19,63,1
19,10,1
19,13,1
19,1318,1
19,1816,1
19,128,1
19,531,1
19,0,1
19,610,1
19,473,1
19,1460,1
19,2331,1
19,1127,1
19,2159,1
19,12,1
19,1074,1
19,393,1
19,1,1
19,2396,1
19,1564,1
19,367,1
19,1289,1
20,417,2
20,496,1
20,274,1
20,620,1
20,712,1
20,1261,1
20,985,1
20,16,1
20,1484,1
20,1382,1
20,0,1
20,1,1
20,246,1
20,630,1
20,672,1
20,452,1
20,10,1
20,13,1
20,511,1
20,1420,1
20,2103,1
20,498,1
20,533,1
20,768,1
20,1515,1
20,643,1
20,195,1
20,532,1
20,6,1
20,281,1
20,868,1
20,267,1
20,1460,1
20,825,1
21,2,1
21,110,1
21,23,1
21,1289,2
21,1910,1
21,718,1
21,333,1
21,245,1
21,312,1
21,394,1
21,73,1
22,581,1
22,383,1
22,69,1
22,1017,1
22,996,3
22,856,2
22,2076,2
22,1405,1
22,100,1
22,197,1
23,154,1
23,223,1
23,967,2
23,23,1
23,193,1
23,80,1
23,679,1
23,559,1
23,28,1
23,203,1
23,1322,1
23,14,1
23,470,1
23,88,1
23,179,1
23,271,1
23,26,1
23,355,1
23,255,1
24,2,1
24,110,1
24,323,1
24,241,1
24,529,1
24,232,1
24,550,1
24,1814,1
24,975,1
24,2070,2
24,1581,1
24,82,2
24,1231,1
24,499,1
24,857,1
24,6,1
24,32,1
24,2047,1
24,5,1
24,19,1
24,59,1
24,950,1
24,94,1
24,489,1
24,89,1
24,202,1
24,142,1
24,470,1
24,233,1
24,997,1
24,1184,1
25,285,2
25,38,2
25,1,4
25,296,1
25,52,1
25,320,1
25,717,1
25,1873,1
25,1637,2
25,278,1
25,12,1
25,1895,1
25,378,1
25,132,3
25,730,3
25,1184,1
25,6,1
25,1872,1
25,348,1
25,882,1
25,121,2
25,1319,2
25,55,1
25,123,1
25,1163,1
25,1677,1
25,1601,1
25,14,1
25,1502,1
25,0,5
25,149,1
25,306,1
25,624,1
25,79,2
25,1018,1
25,197,2
25,186,1
25,868,1
25,3,1
25,2,1
25,1511,1
25,521,1
25,7,1
25,295,1
25,1821,1
25,358,3
25,74,1
25,269,1
25,762,1
25,340,1
25,127,1
25,339,1
25,43,1
25,100,1
25,1991,1
25,665,1
26,2,1
26,384,1
26,790,1
26,1478,1
26,1981,1
26,47,1
26,207,1
26,1099,1
26,3,1
26,1502,1
26,38,2
26,57,1
26,78,1
26,30,1
26,1,1
26,1051,1
26,1107,1
26,1691,1
26,0,1
26,1271,1
26,305,1
26,206,1
26,119,1
26,1630,1
26,390,1
26,182,1
26,290,1
26,1102,1
