phrase_idx,phrase,n_docs,total_count
0,of_the,1104,2021
1,in_the,930,1411
2,this_paper,714,746
3,on_the,453,585
4,that_the,491,583
5,to_the,434,548
6,and_the,437,505
7,for_the,374,463
8,show_that,384,445
9,in_which,307,349
10,we_find,308,341
11,we_show,305,340
12,can_be,268,324
13,find_that,286,310
14,with_the,245,271
15,the_model,215,254
16,model_of,240,246
17,by_the,217,243
18,to_be,219,243
19,it_is,194,228
20,from_the,212,224
21,based_on,179,202
22,number_of,147,183
23,effects_of,157,177
24,in_this,160,166
25,changes_in,127,160
26,consistent_with,150,160
27,there_is,141,159
28,set_of,123,155
29,the_same,137,151
30,as_the,133,149
31,when_the,131,148
32,at_the,122,147
33,we_also,135,142
34,that_are,128,139
35,effect_of,114,134
36,the_paper,109,131
37,distribution_of,104,130
38,increase_in,96,129
39,is_that,113,124
40,we_study,121,123
41,which_the,113,121
42,does_not,112,119
43,of_this,113,117
44,is_the,105,116
45,that_is,109,116
46,long_run,79,114
47,such_as,104,113
48,the_effects,99,113
49,do_not,105,112
50,may_be,108,112
51,due_to,97,111
52,of_an,94,111
53,the_results,103,109
54,likely_to,90,106
55,suggest_that,103,106
56,the_data,88,106
57,as_well,99,105
58,differences_in,76,104
59,is_not,98,104
60,in_an,97,102
61,the_optimal,78,102
62,used_to,94,102
63,data_on,97,101
64,is_shown,89,99
65,the_effect,91,99
66,the_first,90,98
67,are_not,86,97
68,impact_of,84,97
69,the_united,81,97
70,between_the,89,96
71,we_develop,95,96
72,of_these,91,95
73,over_the,87,95
74,the_number,70,95
75,class_of,82,94
76,about_the,88,93
77,theory_of,79,92
78,well_as,87,92
79,the_market,72,90
80,data_from,87,89
81,united_states,77,89
82,relative_to,79,88
83,we_use,85,87
84,if_the,77,86
85,presence_of,78,86
86,estimates_of,72,85
87,leads_to,79,85
88,our_results,82,85
89,suggests_that,85,85
90,the_impact,81,85
91,the_presence,77,85
92,human_capital,56,83
93,model_in,82,83
94,model_with,82,83
95,private_information,52,83
96,study_the,83,83
97,rather_than,75,81
98,labor_market,60,80
99,we_estimate,75,80
100,the_equilibrium,65,79
101,the_distribution,66,78
102,value_of,66,78
103,associated_with,72,77
104,shows_that,75,77
