ArticleID,Journal,Volume,Issue,Part
1,ECA,66,6,1.0
2,ECA,66,6,1.0
3,ECA,66,6,1.0
4,ECA,66,6,1.0
5,ECA,66,6,1.0
6,ECA,66,6,1.0
7,ECA,66,5,1.0
8,ECA,66,5,1.0
9,ECA,66,5,1.0
10,ECA,66,5,1.0
11,ECA,66,5,1.0
12,ECA,66,4,1.0
13,ECA,66,4,1.0
14,ECA,66,4,1.0
15,ECA,66,4,1.0
16,ECA,66,4,1.0
17,ECA,66,3,1.0
18,ECA,66,3,1.0
19,ECA,66,3,1.0
20,ECA,66,3,1.0
21,ECA,66,3,1.0
22,ECA,66,3,1.0
23,ECA,66,3,1.0
24,ECA,66,2,1.0
25,ECA,66,2,1.0
26,ECA,66,2,1.0
27,ECA,66,2,1.0
28,ECA,66,2,1.0
29,ECA,66,2,1.0
30,ECA,66,2,1.0
31,ECA,66,2,1.0
32,ECA,66,1,1.0
33,ECA,66,1,1.0
34,ECA,66,1,1.0
35,ECA,66,1,1.0
36,ECA,66,1,1.0
37,ECA,65,6,1.0
38,ECA,65,6,1.0
39,ECA,65,6,1.0
40,ECA,65,6,1.0
41,ECA,65,6,1.0
42,ECA,65,6,1.0
43,ECA,65,6,1.0
44,ECA,65,5,1.0
45,ECA,65,5,1.0
46,ECA,65,5,1.0
47,ECA,65,5,1.0
48,ECA,65,5,1.0
49,ECA,65,5,1.0
50,ECA,65,5,1.0
51,ECA,65,4,1.0
52,ECA,65,4,1.0
53,ECA,65,4,1.0
54,ECA,65,4,1.0
55,ECA,65,4,1.0
56,ECA,65,4,1.0
57,ECA,65,4,1.0
58,ECA,65,3,1.0
59,ECA,65,3,1.0
60,ECA,65,3,1.0
61,ECA,65,3,1.0
62,ECA,65,3,1.0
63,ECA,65,3,1.0
64,ECA,65,3,1.0
65,ECA,65,2,1.0
66,ECA,65,2,1.0
67,ECA,65,2,1.0
68,ECA,65,2,1.0
69,ECA,65,1,1.0
70,ECA,65,1,1.0
71,ECA,65,1,1.0
72,ECA,65,1,1.0
73,ECA,65,1,1.0
74,ECA,65,1,1.0
75,ECA,64,6,1.0
76,ECA,64,6,1.0
77,ECA,64,6,1.0
78,ECA,64,6,1.0
79,ECA,64,6,1.0
80,ECA,64,6,1.0
81,ECA,64,6,1.0
82,ECA,64,6,1.0
83,ECA,64,6,1.0
84,ECA,64,5,1.0
85,ECA,64,5,1.0
86,ECA,64,5,1.0
87,ECA,64,5,1.0
88,ECA,64,5,1.0
89,ECA,64,5,1.0
90,ECA,64,5,1.0
91,ECA,64,5,1.0
92,ECA,64,5,1.0
93,ECA,64,4,1.0
94,ECA,64,4,1.0
95,ECA,64,4,1.0
96,ECA,64,4,1.0
97,ECA,64,4,1.0
98,ECA,64,4,1.0
99,ECA,64,4,1.0
100,ECA,64,4,1.0
101,ECA,64,3,1.0
102,ECA,64,3,1.0
103,ECA,64,3,1.0
104,ECA,64,3,1.0
105,ECA,64,3,1.0
106,ECA,64,3,1.0
107,ECA,64,2,1.0
108,ECA,64,2,1.0
109,ECA,64,2,1.0
110,ECA,64,2,1.0
111,ECA,64,2,1.0
112,ECA,64,2,1.0
113,ECA,64,2,1.0
114,ECA,64,1,1.0
115,ECA,64,1,1.0
116,ECA,64,1,1.0
117,ECA,64,1,1.0
118,ECA,64,1,1.0
119,ECA,64,1,1.0
120,ECA,64,1,1.0
121,ECA,63,6,1.0
122,ECA,63,6,1.0
123,ECA,63,6,1.0
124,ECA,63,6,1.0
125,ECA,63,6,1.0
126,ECA,63,6,1.0
127,ECA,63,6,1.0
128,ECA,63,6,1.0
129,ECA,63,6,1.0
130,ECA,63,5,1.0
131,ECA,63,5,1.0
132,ECA,63,5,1.0
133,ECA,63,5,1.0
134,ECA,63,5,1.0
135,ECA,63,5,1.0
136,ECA,63,5,1.0
137,ECA,63,4,1.0
138,ECA,63,4,1.0
139,ECA,63,4,1.0
140,ECA,63,4,1.0
141,ECA,63,4,1.0
142,ECA,63,4,1.0
143,ECA,63,4,1.0
144,ECA,63,3,1.0
145,ECA,63,3,1.0
146,ECA,63,3,1.0
147,ECA,63,3,1.0
148,ECA,63,3,1.0
149,ECA,63,3,1.0
150,ECA,63,3,1.0
151,ECA,63,3,1.0
152,ECA,63,2,1.0
153,ECA,63,2,1.0
154,ECA,63,2,1.0
155,ECA,63,2,1.0
156,ECA,63,2,1.0
157,ECA,63,2,1.0
158,ECA,63,1,1.0
159,ECA,63,1,1.0
160,ECA,63,1,1.0
161,ECA,63,1,1.0
162,ECA,63,1,1.0
163,ECA,63,1,1.0
164,ECA,63,1,1.0
165,ECA,62,6,1.0
166,ECA,62,6,1.0
167,ECA,62,6,1.0
168,ECA,62,6,1.0
169,ECA,62,6,1.0
170,ECA,62,6,1.0
171,ECA,62,5,1.0
172,ECA,62,5,1.0
173,ECA,62,5,1.0
174,ECA,62,5,1.0
175,ECA,62,5,1.0
176,ECA,62,5,1.0
177,ECA,62,5,1.0
178,ECA,62,5,1.0
179,ECA,62,5,1.0
180,ECA,62,4,1.0
181,ECA,62,4,1.0
182,ECA,62,4,1.0
183,ECA,62,4,1.0
184,ECA,62,4,1.0
185,ECA,62,4,1.0
186,ECA,62,4,1.0
187,ECA,62,3,1.0
188,ECA,62,3,1.0
189,ECA,62,3,1.0
190,ECA,62,3,1.0
191,ECA,62,3,1.0
192,ECA,62,2,1.0
193,ECA,62,2,1.0
194,ECA,62,2,1.0
195,ECA,62,2,1.0
196,ECA,62,2,1.0
197,ECA,62,2,1.0
198,ECA,62,1,1.0
199,ECA,62,1,1.0
200,ECA,62,1,1.0
201,ECA,62,1,1.0
202,ECA,62,1,1.0
203,ECA,62,1,1.0
204,ECA,61,6,1.0
205,ECA,61,6,1.0
206,ECA,61,6,1.0
207,ECA,61,6,1.0
208,ECA,61,6,1.0
209,ECA,61,6,1.0
210,ECA,61,6,1.0
211,ECA,61,5,1.0
212,ECA,61,5,1.0
213,ECA,61,5,1.0
214,ECA,61,5,1.0
215,ECA,61,5,1.0
216,ECA,61,5,1.0
217,ECA,61,5,1.0
218,ECA,61,5,1.0
219,ECA,61,4,1.0
220,ECA,61,4,1.0
221,ECA,61,4,1.0
222,ECA,61,4,1.0
223,ECA,61,4,1.0
224,ECA,61,4,1.0
225,ECA,61,4,1.0
226,ECA,61,3,1.0
227,ECA,61,3,1.0
228,ECA,61,3,1.0
229,ECA,61,3,1.0
230,ECA,61,3,1.0
231,ECA,61,3,1.0
232,ECA,61,3,1.0
233,ECA,61,3,1.0
234,ECA,61,2,1.0
235,ECA,61,2,1.0
236,ECA,61,2,1.0
237,ECA,61,2,1.0
238,ECA,61,2,1.0
239,ECA,61,2,1.0
240,ECA,61,1,1.0
241,ECA,61,1,1.0
242,ECA,61,1,1.0
243,ECA,61,1,1.0
244,ECA,61,1,1.0
245,ECA,61,1,1.0
246,ECA,61,1,1.0
247,ECA,60,6,1.0
248,ECA,60,6,1.0
249,ECA,60,6,1.0
250,ECA,60,6,1.0
251,ECA,60,6,1.0
252,ECA,60,6,1.0
253,ECA,60,6,1.0
254,ECA,60,6,1.0
255,ECA,60,5,1.0
256,ECA,60,5,1.0
257,ECA,60,5,1.0
258,ECA,60,5,1.0
259,ECA,60,5,1.0
260,ECA,60,5,1.0
261,ECA,60,5,1.0
262,ECA,60,5,1.0
263,ECA,60,5,1.0
264,ECA,60,5,1.0
265,ECA,60,4,1.0
266,ECA,60,4,1.0
267,ECA,60,4,1.0
268,ECA,60,4,1.0
269,ECA,60,4,1.0
270,ECA,60,4,1.0
271,ECA,60,4,1.0
272,ECA,60,4,1.0
273,ECA,60,4,1.0
274,ECA,60,3,1.0
275,ECA,60,3,1.0
276,ECA,60,3,1.0
277,ECA,60,3,1.0
278,ECA,60,3,1.0
279,ECA,60,3,1.0
280,ECA,60,3,1.0
281,ECA,60,2,1.0
282,ECA,60,2,1.0
283,ECA,60,2,1.0
284,ECA,60,2,1.0
285,ECA,60,2,1.0
286,ECA,60,2,1.0
287,ECA,60,1,1.0
288,ECA,60,1,1.0
289,ECA,60,1,1.0
290,ECA,60,1,1.0
291,ECA,60,1,1.0
292,ECA,60,1,1.0
293,ECA,60,1,1.0
294,ECA,60,1,1.0
295,ECA,59,6,1.0
296,ECA,59,6,1.0
