_flesch_score, "Flesch"
_fleschkincaid_score, "Flesch-Kincaid"
_gunningfog_score, "Gunning Fog"
_smog_score, "SMOG"
_dalechall_score, "Dale-Chall"
_sent_count, "No. sentences"
_char_count, "No. characters"
_sybl_count, "No. syllables"
_polysyblword_count, "No. polysyllabic words"
_word_count, "No. words"
_notdalechall_count, "No. difficult words"
_wps_count, "No. words / sentence count"
_pps_count, "No. polysyllabic words / sentence count"
_spw_count, "No. syllables / word count"
_pww_count, "No. polysyllabic words / word count"
_dww_count, "No. difficult words / word count"
FemRatio, "Female ratio"
MaxT, "Max. \(T\)"
PubN, "\(T\)"
N, "\(N_j\)"
T, "\(T_5\)"
tBin, "Publication count (4 bins)"
PubOrder, "Order"
PageN, "No. pages"
Mother, "Mother"
Birth, "Birth"
Sex, "Male"
CiteCount, "No. citations"
asinhCiteCount, "No. citations (asinh)"
NberWP, "NBER Working Paper"
Gender, "Author gender"
JEL1_1, "A General"
JEL1_2, "B Methodology"
JEL1_3, "C Quant. methods"
JEL1_4, "D Microeconomics"
JEL1_5, "E Macroeconomics"
JEL1_6, "F International"
JEL1_7, "G Finance"
JEL1_8, "H Public"
JEL1_9, "I Health, welfare, edu."
JEL1_10, "J Labour"
JEL1_11, "K Law and econ."
JEL1_12, "L Industrial org."
JEL1_13, "M Marketing, accounting"
JEL1_14, "N Economic history"
JEL1_15, "O Development"
JEL1_16, "P Economic systems"
JEL1_17, "Q Agri., environment"
JEL1_18, "R Regional, transport"
JEL1_19, "Y Miscellaneous"
JEL1_20, "Z Special topics"
AmericanName100, "\(100\) (U.S.)"
AmericanName1000, "\(1K\) (U.S.)"
AmericanName10000, "\(10K\) (U.S.)"
AmericanName100000, "\(100K\) (U.S.)"
AmericanName1000000, "\(1M\) (U.S.)"
ScottishName, "\(10\) (Scotland)"
meanPubOrder "Avg. order in issue"
minPubOrder "Min. order in issue"
meanN "Avg. \(N_{it}\)"
maxCiteCount "Max. citations"
meanYear "Avg. year"
AuthorOrderBin1 "\% no ordering"
AuthorOrderBin2 "\% first authored by \(i\)"
AuthorOrderBin3 "\% not first author"
Decade1 "1950--59"
Decade2 "1960--69"
Decade3 "1970--79"
Decade4 "1980--89"
Decade5 "1990--99"
Decade6 "2000--09"
Decade7 "2010--15"
minInstRank "Min. inst. rank"
meanInstRank "Avg. inst. rank"
maxInstRank "Max. inst. rank"
Journal1 "\textit{AER}"
Journal2 "\textit{Econometrica}"
Journal3 "\textit{JPE}"
Journal4 "\textit{QJE}"
JEL1_A, "A General"
JEL1_B, "B Methodology"
JEL1_C, "C Quant. methods"
JEL1_D, "D Microeconomics"
JEL1_E, "E Macroeconomics"
JEL1_F, "F International"
JEL1_G, "G Finance"
JEL1_H, "H Public"
JEL1_I, "I Health, welfare, edu."
JEL1_J, "J Labour"
JEL1_K, "K Law and econ."
JEL1_L, "L Industrial org."
JEL1_M, "M Marketing/acct."
JEL1_N, "N Economic history"
JEL1_O, "O Development"
JEL1_P, "P Economic systems"
JEL1_Q, "Q Agri., environment"
JEL1_R, "R Regional, transport"
JEL1_Y, "Y Miscellaneous"
JEL1_Z, "Z Special topics"
InstRank "Inst. rank"
MaxInst "Max. inst. rank"
Maxt "Max. \(t\)"
Blind "Blind review"
NativeEnglish, "Native English speaker"
Fem50, "Majority female"
Fem100, "Exclusively female"
FemSenior, "Senior female"
FemJunior "Sr. female (\(t\le3\))"
FemSolo, "Solo female"
Fem1, "1+ female"
FirstInst, "\(t=1\) inst. rank"
article_r_fleschkincaid_score, "Flesch-Kincaid"
article_r_gunningfog_score, "Gunning Fog"
article_r_smog_score, "SMOG"
article_r_fleschkincaid_score, "Flesch-Kincaid"
article_r_gunningfog_score, "Gunning Fog"
article_r_smog_score, "SMOG"
Type_Theory, "Theory"
Type_Empirical, "Empirical"
Type_Other, "Other"
_llm_readability, "LLM Readability"
_llm_modal_verb, "Modal Verb Strength"
_llm_hedging, "Hedging Frequency & Type"
_llm_qualifier, "Qualifier Density"
_llm_ack_limits, "Acknowledgement of Limitations"
