ArticleID,Modal Verb Strength,Hedging Frequency & Type,Qualifier Density,Acknowledgement of Limitations,Caution-Signaling Connectors,Assertiveness & Voice,Active/Passive Voice Ratio,Sentence Length & Directness,Imperative-Form Occurrence,Pronoun Commitment,Novelty-Claim Strength,Jargon/Technicality Density,Emotional Valence,Evidence & Citation Usage,Practical/Impact Orientation,llm_readability
1,10,10,9,10,5,9,9,8,1,10,2,7,1,3,2,8
2,3,6,6,9,5,7,3,5,1,1,1,7,1,1,5,7
3,9,10,10,10,10,10,2,6,1,1,6,9,1,1,1,4
4,9,10,10,7,5,10,10,9,1,1,7,10,1,1,1,6
5,1,8,7,10,10,8,9,7,1,10,1,8,1,1,1,7
6,9,10,10,10,5,10,9,4,1,10,1,9,1,3,1,5
7,9,10,10,10,10,9,8,6,1,7,3,8,1,2,5,7
8,2,6,3,3,5,8,6,3,1,10,2,9,1,2,1,5
9,8,10,10,10,10,9,3,6,1,1,7,9,1,2,5,6
10,7,9,8,8,10,8,7,6,1,4,1,9,1,1,1,4
11,8,8,7,9,5,8,4,5,1,9,1,9,1,1,5,6
12,2,2,3,3,5,3,8,2,1,1,1,8,1,1,1,3
13,8,8,8,10,10,9,8,7,1,9,7,9,1,3,1,6
14,9,10,8,2,5,9,10,8,1,8,4,7,1,1,1,8
15,8,10,10,10,10,10,9,6,1,8,2,9,1,1,1,6
16,1,6,7,4,5,8,9,3,1,10,1,9,1,1,2,4
17,7,10,10,10,10,9,9,7,1,1,1,9,1,1,1,7
18,3,9,8,10,5,9,9,6,1,10,6,8,1,1,4,7
19,2,8,7,10,10,8,7,6,1,3,9,6,1,1,1,8
20,3,3,4,3,2,5,7,3,1,6,1,9,1,1,1,5
21,4,7,7,9,10,9,10,6,1,9,7,8,2,1,3,7
22,9,8,6,10,10,9,6,9,1,1,4,9,2,3,1,7
23,2,8,10,10,10,9,9,8,1,9,7,8,1,1,1,7
24,5,7,6,6,5,7,5,4,1,1,1,7,1,2,1,6
25,8,8,9,10,10,8,8,3,1,8,1,9,1,1,2,4
26,1,7,9,4,10,8,2,4,1,1,1,9,1,1,2,6
27,8,9,8,6,10,8,7,3,1,6,5,9,2,3,2,5
28,9,9,5,9,5,9,9,3,1,9,7,9,1,3,2,4
29,2,7,5,4,10,8,10,6,1,7,1,5,1,3,5,8
30,7,10,10,10,10,10,10,6,1,10,6,8,1,1,3,7
31,10,10,9,7,5,10,5,4,1,1,2,9,1,1,1,4
32,2,8,9,10,10,7,10,3,1,3,1,9,1,3,5,6
33,8,10,10,10,10,9,9,4,1,9,5,8,1,1,2,6
34,8,10,9,6,10,9,2,3,1,3,3,9,1,1,5,6
35,1,3,9,6,10,8,2,6,1,1,1,9,1,1,1,5
36,2,7,7,10,10,9,1,6,1,1,3,8,1,2,5,7
37,9,10,10,10,10,10,9,8,1,9,1,8,1,1,1,7
38,3,8,5,9,10,8,9,6,1,8,5,8,1,2,1,6
39,1,7,8,3,10,8,8,3,1,1,1,7,1,1,5,6
40,3,7,7,6,10,9,5,6,1,9,5,8,1,1,2,7
41,9,9,8,7,10,9,2,2,1,1,1,9,1,1,4,3
42,9,8,7,10,10,10,8,7,1,1,2,8,1,1,3,8
43,10,9,3,9,10,9,7,3,1,9,3,8,1,3,2,5
44,1,8,8,9,10,6,3,6,1,1,2,6,1,1,5,7
45,8,7,7,6,5,9,9,7,1,9,1,7,1,1,2,7
46,3,7,8,6,10,8,5,3,1,3,6,9,1,1,1,4
47,5,10,10,10,10,10,5,8,1,1,6,9,1,1,1,6
48,9,9,8,3,10,9,9,4,1,6,1,9,1,2,1,5
49,6,4,3,8,10,7,5,3,1,1,1,9,1,2,1,4
50,7,10,4,6,10,9,6,4,1,1,5,9,1,1,1,5
51,3,3,7,8,10,4,7,3,1,1,1,7,1,1,4,5
52,2,6,8,5,10,8,9,3,1,8,1,8,1,1,5,6
53,5,7,7,3,10,6,8,4,1,1,1,6,2,2,5,6
54,10,10,10,4,5,10,9,6,1,8,3,9,1,1,2,7
55,8,10,10,10,5,10,9,6,1,9,1,9,1,1,1,4
56,1,2,3,3,5,4,8,4,1,3,1,8,1,1,4,6
57,9,10,10,8,10,9,4,7,1,1,1,9,1,3,1,7
58,9,10,10,10,10,10,10,8,1,8,6,9,1,1,2,7
59,5,6,6,10,5,7,7,9,1,1,1,7,1,1,1,7
60,5,8,8,6,5,8,5,3,1,1,3,9,1,5,6,5
61,10,9,8,3,10,10,9,7,1,9,1,9,1,1,1,6
62,8,10,10,10,10,9,10,7,1,7,1,8,1,1,1,7
63,7,8,8,9,10,9,6,3,1,1,1,9,1,1,1,4
64,8,10,10,10,5,9,2,3,1,6,1,9,1,1,1,4
65,9,10,9,3,5,10,10,3,1,9,4,10,2,1,1,5
66,6,3,3,3,10,3,9,2,2,1,1,8,1,2,1,4
67,9,6,6,8,5,8,9,7,1,6,1,7,1,1,1,8
68,5,10,10,10,10,10,6,6,1,1,4,8,1,1,1,6
69,5,10,10,10,10,9,10,8,1,9,5,7,1,1,1,8
70,1,6,5,6,10,7,8,6,1,4,1,8,1,1,1,6
71,5,10,10,10,10,10,5,8,1,1,6,9,1,1,1,6
72,9,9,8,10,10,9,9,7,1,3,6,8,1,1,5,7
73,5,9,4,10,10,8,5,4,1,1,1,8,1,1,5,6
74,9,10,10,10,5,8,10,7,1,6,1,8,2,2,2,6
75,10,10,9,10,10,10,3,6,1,6,2,8,1,1,2,6
76,3,10,8,10,10,9,8,7,1,8,4,7,1,1,3,7
77,4,4,9,9,5,7,10,7,1,1,1,6,1,1,1,8
78,9,10,6,8,10,9,10,4,1,3,3,7,1,1,1,6
