NberID,Modal Verb Strength,Hedging Frequency & Type,Qualifier Density,Acknowledgement of Limitations,Caution-Signaling Connectors,Assertiveness & Voice,Active/Passive Voice Ratio,Sentence Length & Directness,Imperative-Form Occurrence,Pronoun Commitment,Novelty-Claim Strength,Jargon/Technicality Density,Emotional Valence,Evidence & Citation Usage,Practical/Impact Orientation,llm_readability
h0017,5,10,10,7,10,8,10,9,1,1,1,2,1,1,1,9
h0032,5,7,7,10,10,8,8,6,1,1,1,4,1,4,1,8
t0005,1,7,3,8,5,6,5,6,1,2,8,8,1,1,5,6
t0017,9,10,9,10,10,9,9,3,1,8,6,8,1,4,2,6
t0040,10,10,8,10,5,9,8,4,1,7,3,8,1,2,3,6
t0048,9,8,7,10,10,8,7,7,1,3,1,9,1,2,4,6
t0083,2,8,9,9,10,8,2,4,1,1,2,10,1,1,1,5
t0087,9,10,10,9,10,9,3,9,1,1,2,9,1,1,2,6
t0089,5,10,10,10,10,10,10,7,1,9,3,8,1,1,2,7
t0099,8,10,10,7,10,10,4,3,1,1,7,8,1,1,3,5
t0102,8,9,6,10,10,8,7,6,1,1,7,6,1,1,2,7
t0112,6,10,10,10,5,9,10,6,1,1,1,7,2,1,1,7
t0113,2,8,8,6,10,8,10,7,1,3,1,7,2,1,2,7
t0129,8,8,7,7,10,8,10,4,1,9,1,8,1,1,1,6
t0130,9,7,5,6,5,8,5,3,1,3,6,9,1,6,1,4
t0141,6,10,10,10,10,8,4,9,1,3,1,9,1,1,5,7
t0151,6,7,6,9,10,7,5,4,1,1,4,9,1,3,6,5
t0161,7,8,8,6,10,8,7,5,1,1,6,8,1,6,1,6
t0163,9,9,9,10,10,9,9,8,1,6,3,9,1,1,2,7
t0222,8,9,8,8,5,10,9,4,1,10,3,9,1,1,3,5
t0242,2,10,10,6,5,9,9,4,1,6,1,8,1,2,5,7
t0251,1,7,8,4,5,8,8,4,1,9,3,8,1,4,1,7
t0267,4,7,9,3,10,8,8,3,1,7,7,8,1,1,1,5
t0276,9,7,8,9,10,9,10,8,1,10,1,6,1,1,1,9
t0280,2,8,10,10,10,9,9,4,1,10,6,8,1,1,5,6
t0283,2,6,7,8,9,8,9,6,1,9,8,9,1,3,4,7
t0299,8,7,6,4,5,9,7,4,1,8,5,9,1,1,1,6
t0301,3,9,6,8,10,8,9,8,1,10,5,8,1,4,5,7
t0315,9,10,8,6,10,9,9,7,1,9,1,7,1,1,5,8
t0323,9,10,10,2,10,10,8,2,1,3,1,9,1,1,1,3
t0325,9,8,8,9,5,10,5,6,1,8,5,9,1,3,2,7
t0339,8,10,10,10,10,8,7,6,1,9,7,9,1,1,4,6
w0013,2,3,7,6,5,5,5,3,1,1,5,8,2,1,3,5
w0025,8,8,10,7,10,8,1,4,1,1,4,9,1,3,1,5
w0042,6,10,7,10,10,8,8,4,1,1,2,6,2,1,5,7
w0055,9,9,9,10,5,9,8,3,1,1,2,7,1,1,6,7
w0060,5,10,10,10,10,8,3,7,1,1,1,9,1,2,1,6
w0067,9,10,10,10,10,9,9,7,1,7,6,7,1,1,1,8
w0088,9,10,10,10,10,9,2,7,1,1,7,8,2,6,2,7
