,link,title,authors,metrics,received,accepted,published_online,under_review,pub_year,pub_month
140,https://doi.org/10.1287/mnsc.2021.01832,Delegation with Technology Migration: An Empirical Analysis of Mobile Virtual Network Operators,"Fan Zou , Yan Dong , Kejia Hu , Sriram Venkataraman","Downloaded 1,049 times in the past 12 months
Cited 0 times",2021-06-03,2024-04-30,2024-12-05,1062,2024,12
141,https://doi.org/10.1287/mnsc.2022.04152,Intertemporal Pricing with Resellers: An Empirical Study of Product Drops,"Dayton Steele , Seyed Morteza Emadi , Saravanan Kesavan","Downloaded 1,033 times in the past 12 months
Cited 0 times",2022-12-27,2024-05-23,2024-12-06,513,2024,12
142,https://doi.org/10.1287/mnsc.2023.00993,The Role of Lockups in Stock Mergers,"Zhong Chen , Yi Liu , Stefano Ross","Downloaded 664 times in the past 12 months
Cited 0 times",2023-03-30,2024-06-13,2024-12-09,441,2024,12
143,https://doi.org/10.1287/mnsc.2023.00457,A Graphical Point Process Framework for Understanding Removal Effects in Multi-Touch Attribution,"Jun Tao, Qian Chen , James W. Snyder, Jr., Arava Sai Kumar, Amirhossein Meisami, Lingzhou Xue","Downloaded 650 times in the past 12 months
Cited 1 times",2023-02-09,2024-06-26,2024-12-11,503,2024,12
144,https://doi.org/10.1287/mnsc.2022.00994,The Crowdfunding Effects on Venture Capital Investment,"Ming Hu , Yannan Jin , Jussi Keppo","Downloaded 1,191 times in the past 12 months
Cited 2 times",2022-03-31,2024-10-31,2024-12-12,945,2024,12
145,https://doi.org/10.1287/mnsc.2024.05233,Auctions of Auctions,"Robert Zeithammer , W. Jason Cho","Downloaded 630 times in the past 12 months
Cited 1 times",2024-03-09,2024-10-29,2024-12-13,234,2024,12
146,https://doi.org/10.1287/mnsc.2023.00830,Relational Resonance and Content Creation,"Tingting Song , Yi-Chun (Chad) Ho","Downloaded 1,589 times in the past 12 months
Cited 2 times",2023-03-15,2024-10-01,2024-12-17,566,2024,12
147,https://doi.org/10.1287/mnsc.2023.00830,Relational Resonance and Content Creation,"Tingting Song , Yi-Chun (Chad) Ho ","Downloaded 1,589 times in the past 12 months
Cited 2 times",2023-03-15,2024-10-01,2024-12-17,566,2024,12
148,https://doi.org/10.1287/mnsc.2022.00430,"Cyberattacks, Operational Disruption, and Investment in Resilience Measures","Terrence August , Daehoon Noh , Noam Shamir , Hyoduk Shin ","Downloaded 4,274 times in the past 12 months
Cited 2 times",2022-02-11,2024-09-21,2024-12-18,953,2024,12
149,https://doi.org/10.1287/mnsc.2023.00425,"Fearless Woman: Financial Literacy, Confidence, and Stock Market Participation","Tabea Bucher-Koenen , Rob Alessie , Annamaria Lusardi , Maarten van Rooij","Downloaded 5,251 times in the past 12 months
Cited 5 times",2023-02-06,2024-08-20,2024-12-18,561,2024,12
