Feature,0.0,1.0,diff_in_means
Modal Verb Strength,4.752,4.896,0.14400000000000013
Hedging Frequency & Type,8.019,7.929,-0.08999999999999986
Qualifier Density,8.422,8.313,-0.10899999999999999
Acknowledgement of Limitations,8.076,8.593,0.5169999999999995
Caution-Signaling Connectors,8.074,8.132,0.05799999999999983
Assertiveness & Voice,8.132,8.132,0.0
Active/Passive Voice Ratio,8.135,8.709,0.5739999999999998
Sentence Length & Directness,5.838,6.187,0.3490000000000002
Imperative-Form Occurrence,1.012,1.0,-0.01200000000000001
Pronoun Commitment,4.693,5.797,1.104
Novelty-Claim Strength,2.007,1.786,-0.22100000000000009
Jargon/Technicality Density,6.874,6.126,-0.7479999999999993
Emotional Valence,1.213,1.22,0.006999999999999895
Evidence & Citation Usage,2.219,2.94,0.7210000000000001
Practical/Impact Orientation,2.374,2.544,0.16999999999999993
Readability,6.84,7.456,0.6160000000000005
