,Modal Verb Strength,Hedging Frequency & Type,Qualifier Density,Acknowledgement of Limitations,Caution-Signaling Connectors,Assertiveness & Voice,Active/Passive Voice Ratio,Sentence Length & Directness,Imperative-Form Occurrence,Pronoun Commitment,Novelty-Claim Strength,Jargon/Technicality Density,Emotional Valence,Evidence & Citation Usage,Practical/Impact Orientation,Readability
Modal Verb Strength,1.0,0.4999246734909792,0.2877347059167666,0.09372444412675286,0.05828804370033174,0.5046918623006194,0.01751825249280352,0.10770121731970551,0.010025155523312264,0.036661822056792526,0.06454405564036608,0.06507377810921335,-0.007710005071461976,0.03878443848411603,-0.07823870218070113,0.03252030808031327
Hedging Frequency & Type,0.4999246734909792,1.0,0.7030577169015068,0.25184111902299783,0.1901526784281159,0.7436540067497804,-0.0038136319334961693,0.19556299721499798,0.002687013108226283,0.055483840782417214,0.09959863939138855,0.16077090494445792,-0.0739644100899726,-0.05849240245788984,-0.10635921713769782,0.05692314098409679
Qualifier Density,0.2877347059167666,0.7030577169015068,1.0,0.29739910667002,0.19448347425094367,0.5257057956323781,0.011350326673587024,0.20864137371804234,-0.002537626644359936,0.04439116967690783,0.07535841814765062,0.12228056764779581,-0.07311039494757605,-0.08461644594928994,-0.07699789298652984,0.08789333994301282
Acknowledgement of Limitations,0.09372444412675286,0.25184111902299783,0.29739910667002,1.0,0.19831612468533907,0.23510856170688538,0.09976103147140235,0.24946291203211637,-0.055454338408415994,0.07435017926634424,0.06235740175372585,-0.09616081537156058,0.00196890168637836,0.05559066707944426,-0.010340812745277156,0.24500105975107234
Caution-Signaling Connectors,0.05828804370033174,0.1901526784281159,0.19448347425094367,0.19831612468533907,1.0,0.16944231345974062,-0.07592462357697523,0.09385585818184292,0.012833700667709414,-0.026141856994134346,0.03250646102270161,0.09155233174005224,-0.062386606115217444,-0.03680601024562948,-0.04774150373124549,-0.00909587834480481
Assertiveness & Voice,0.5046918623006194,0.7436540067497804,0.5257057956323781,0.23510856170688538,0.16944231345974062,1.0,0.0999713218997324,0.1997219211259812,0.012573954334217865,0.15906213484644863,0.16176625407941952,0.15756627480544122,-0.028306806118049803,-0.0021831459853987743,-0.07534522146049664,0.08419713196387907
Active/Passive Voice Ratio,0.01751825249280352,-0.0038136319334961693,0.011350326673587024,0.09976103147140235,-0.07592462357697523,0.0999713218997324,1.0,0.3073577808704324,0.0017291088440501237,0.49539790897921093,0.0387893000756687,-0.18422762243672458,0.038330613523749835,0.14137366216469038,0.11139567611102946,0.3756789116315006
Sentence Length & Directness,0.10770121731970551,0.19556299721499798,0.20864137371804234,0.24946291203211637,0.09385585818184292,0.1997219211259812,0.3073577808704324,1.0,-0.01857567207820522,0.1620567970418624,-0.03234227446235514,-0.29169533826190275,-0.030271375828605684,0.09909486952301544,0.02715240849060233,0.7465926918753342
Imperative-Form Occurrence,0.010025155523312264,0.002687013108226283,-0.002537626644359936,-0.055454338408415994,0.012833700667709414,0.012573954334217865,0.0017291088440501237,-0.01857567207820522,1.0,0.0018409799112256925,-0.005570833167406188,0.033614107742767255,-0.002567881163800579,-0.019915134374657247,-0.017460998379556433,-0.05333460245072434
Pronoun Commitment,0.036661822056792526,0.055483840782417214,0.04439116967690783,0.07435017926634424,-0.026141856994134346,0.15906213484644863,0.49539790897921093,0.1620567970418624,0.0018409799112256925,1.0,0.14566803927354563,-0.03093103255053496,-0.004322502023234283,0.14454803477998945,0.0982256724395215,0.2226727763861036
Novelty-Claim Strength,0.06454405564036608,0.09959863939138855,0.07535841814765062,0.06235740175372585,0.03250646102270161,0.16176625407941952,0.0387893000756687,-0.03234227446235514,-0.005570833167406188,0.14566803927354563,1.0,0.19923053198583923,0.07677918417634272,-0.01597823241668529,0.017962996514366048,-0.07075435305034504
Jargon/Technicality Density,0.06507377810921335,0.16077090494445792,0.12228056764779581,-0.09616081537156058,0.09155233174005224,0.15756627480544122,-0.18422762243672458,-0.29169533826190275,0.033614107742767255,-0.03093103255053496,0.19923053198583923,1.0,-0.09106250328505208,-0.1658612014832273,-0.14264456605023856,-0.619344048819307
Emotional Valence,-0.007710005071461976,-0.0739644100899726,-0.07311039494757605,0.00196890168637836,-0.062386606115217444,-0.028306806118049803,0.038330613523749835,-0.030271375828605684,-0.002567881163800579,-0.004322502023234283,0.07677918417634272,-0.09106250328505208,1.0,0.026435901081812364,0.06358747123296483,0.02773900115128817
Evidence & Citation Usage,0.03878443848411603,-0.05849240245788984,-0.08461644594928994,0.05559066707944426,-0.03680601024562948,-0.0021831459853987743,0.14137366216469038,0.09909486952301544,-0.019915134374657247,0.14454803477998945,-0.01597823241668529,-0.1658612014832273,0.026435901081812364,1.0,0.15176083720485894,0.23499170760611704
Practical/Impact Orientation,-0.07823870218070113,-0.10635921713769782,-0.07699789298652984,-0.010340812745277156,-0.04774150373124549,-0.07534522146049664,0.11139567611102946,0.02715240849060233,-0.017460998379556433,0.0982256724395215,0.017962996514366048,-0.14264456605023856,0.06358747123296483,0.15176083720485894,1.0,0.1955287922367237
Readability,0.03252030808031327,0.05692314098409679,0.08789333994301282,0.24500105975107234,-0.00909587834480481,0.08419713196387907,0.3756789116315006,0.7465926918753342,-0.05333460245072434,0.2226727763861036,-0.07075435305034504,-0.619344048819307,0.02773900115128817,0.23499170760611704,0.1955287922367237,1.0
