,AER,ECA,JPE,QJE
Modal,6.181,6.359,5.993,6.032
Hedge,8.484,8.678,7.919,8.197
Qual,8.455,8.436,7.913,8.118
AckLim,8.603,7.813,7.807,8.405
Caution,8.434,8.984,8.353,8.481
Assert,8.288,8.428,7.907,8.094
ActPass,8.624,6.146,7.2,8.134
Direct,7.026,5.409,5.702,6.504
Imperat,1.008,1.031,1.015,1.008
Pronoun,5.258,3.904,3.673,4.87
Novelty,2.097,2.683,1.965,2.053
Jargon,6.394,7.93,6.489,6.235
Emot,1.119,1.074,1.16,1.134
Evid,1.917,1.413,1.841,2.103
Pract,2.602,1.988,2.539,2.713
Read,7.515,6.019,6.783,7.408
