,Mean,SD,Min,P25,Median,P75,Max
Modal,6.167,2.93,1.0,4.0,7.0,9.0,10.0
Hedge,8.353,1.962,1.0,7.0,9.0,10.0,10.0
Qual,8.248,1.825,2.0,7.0,9.0,10.0,10.0
AckLim,8.088,2.525,1.0,6.0,10.0,10.0,10.0
Caution,8.608,2.253,1.0,5.0,10.0,10.0,10.0
Assert,8.202,1.532,1.0,8.0,9.0,9.0,10.0
ActPass,7.316,2.726,1.0,5.0,8.0,10.0,10.0
Direct,6.034,2.063,1.0,4.0,6.0,8.0,10.0
Imperat,1.018,0.213,1.0,1.0,1.0,1.0,7.0
Pronoun,4.307,3.505,1.0,1.0,3.0,8.0,10.0
Novelty,2.255,2.124,1.0,1.0,1.0,3.0,10.0
Jargon,6.919,1.763,1.0,6.0,7.0,8.0,10.0
Emot,1.117,0.366,1.0,1.0,1.0,1.0,7.0
Evid,1.755,1.435,1.0,1.0,1.0,2.0,9.0
Pract,2.393,1.749,1.0,1.0,2.0,4.0,9.0
Read,6.79,1.382,2.0,6.0,7.0,8.0,10.0
