phrase_idx,phrase,n_docs,total_count,zeta,direction
5111,who_were,16,17,5.49029815273296,high_read
5484,use_data,16,16,5.48891462077351,high_read
4964,percent_more,17,17,5.48891462077093,high_read
3367,by_percentage,17,23,5.4885790646444,high_read
4249,house_prices,14,19,5.48772639748784,high_read
6879,percent_the,13,13,5.4877263974873,high_read
7649,significantly_more,12,12,5.4877263974859,high_read
6102,for_countries,13,14,5.48772639746871,high_read
5987,approximately_percent,14,14,5.48760686861201,high_read
5361,performance_and,15,16,5.48705777938575,high_read
6144,in_states,13,14,5.48660822473411,high_read
7502,negative_effects,12,12,5.48571671114739,high_read
7629,rise_of,11,12,5.48571671114411,high_read
6569,by_to,12,13,5.48571664274815,high_read
5682,is_percent,13,15,5.48571664274387,high_read
7576,percent_we,12,12,5.48571664274181,high_read
8248,model's_predictions,11,11,5.48571664272958,high_read
8069,evidence_consistent,11,11,5.48571664272706,high_read
8642,using_detailed,11,11,5.48568224706553,high_read
6621,detailed_data,12,13,5.48568224704765,high_read
6688,had_no,13,13,5.48563768638805,high_read
8326,on_health,9,11,5.4856227436082,high_read
9213,not_driven,10,10,5.48554842013333,high_read
6205,median_voter,10,14,5.48539975970385,high_read
9035,gender_gap,9,10,5.48539975969922,high_read
8597,to_attend,10,11,5.48539975969831,high_read
8495,tax_returns,9,11,5.48539975968739,high_read
7472,market_competition,10,12,5.48539975968495,high_read
7612,public_schools,11,12,5.485399758265,high_read
8091,firms_from,11,11,5.48526375710575,high_read
8739,and_export,9,10,5.48526313158684,high_read
8638,us_cities,9,11,5.48515876913285,high_read
9016,from_randomized,10,10,5.48515876912314,high_read
9078,in_crime,10,10,5.48515876912068,high_read
8290,of_federal,9,11,5.48477353949849,high_read
8215,job_finding,7,11,5.48477353301057,high_read
9034,gender_differences,7,10,5.48417230848464,high_read
8323,on_crime,8,11,5.48324610074427,high_read
5438,the_internet,9,16,5.48310597821967,high_read
7681,take_up,10,12,5.48310597821848,high_read
6729,infant_mortality,8,13,5.48271142603793,high_read
9633,voter_turnout,9,10,5.48271142602343,high_read
7896,and_had,10,11,5.48271142601294,high_read
9473,test_score,10,10,5.48209619015199,high_read
8512,that_pay,8,11,5.48209618611417,high_read
9042,group_members,8,10,5.48209618610227,high_read
8481,students_who,8,11,5.48162934434926,high_read
7981,ceo_pay,5,11,5.48122784634519,high_read
9054,high_unemployment,7,10,5.48122784629855,high_read
5562,child_care,6,15,5.48122784629354,high_read
9026,fund_raising,7,10,5.48122784629211,high_read
8851,checks_and,7,10,5.48122780340576,high_read
9371,public_health,7,10,5.4807470942554,high_read
6121,group_membership,6,14,5.47977466036754,high_read
8695,affirmative_action,6,10,5.47956870097761,high_read
1943,asymptotically_normal,32,36,-4.96320853713636,low_read
1321,asymptotic_distribution,42,48,-4.96317051985007,low_read
1226,endogenous_variables,41,51,-4.96286921444391,low_read
1675,linear_regression,39,41,-4.96225461095801,low_read
1101,unit_root,30,56,-4.96194042968409,low_read
1776,exogenous_variables,33,39,-4.96089862492274,low_read
1948,coefficients_of,30,36,-4.96043735368327,low_read
2242,dependent_variable,28,32,-4.95992122468983,low_read
1721,family_of,31,40,-4.95946817231966,low_read
2027,infinite_horizon,34,35,-4.95835924190904,low_read
2287,tests_and,23,32,-4.95835924190901,low_read
2425,estimator_and,26,30,-4.95835924190894,low_read
3177,and_asymptotically,23,24,-4.95835924190892,low_read
1876,von_neumann,32,38,-4.95835924187437,low_read
2689,regularity_conditions,26,28,-4.9583496839159,low_read
2175,equilibria_of,31,33,-4.95834348671839,low_read
2593,the_nonparametric,23,29,-4.9583434349237,low_read
1845,objective_function,26,38,-4.95834343492355,low_read
3189,asymptotic_theory,19,24,-4.95834343492345,low_read
3519,we_shall,17,23,-4.95831723147517,low_read
4801,consideration_of,17,17,-4.95831723147473,low_read
4019,inference_in,18,20,-4.95829305003978,low_read
2842,the_disturbances,23,27,-4.95827458472553,low_read
2516,critical_values,20,29,-4.95815914749543,low_read
2232,asymptotic_normality,27,32,-4.95815914749515,low_read
4101,the_regressors,20,20,-4.9580319222349,low_read
3958,asymptotic_distributions,20,20,-4.95803192223489,low_read
4293,of_nonparametric,17,19,-4.95803192223429,low_read
3092,of_finite,23,25,-4.95803192223427,low_read
5296,it_follows,16,16,-4.9580319222342,low_read
3788,idea_of,20,21,-4.9579104478583,low_read
3997,for_models,20,20,-4.95732946997531,low_read
2567,pure_strategy,28,29,-4.95732946997507,low_read
1773,discrete_time,22,39,-4.957329469975,low_read
3815,mean_of,19,21,-4.95732946997499,low_read
5483,unit_roots,12,16,-4.95732946997489,low_read
3554,consistency_and,21,22,-4.95732946997487,low_read
4153,are_asymptotically,17,19,-4.95717307838868,low_read
5371,procedures_are,15,16,-4.95717307838847,low_read
3183,approximations_to,22,24,-4.95717307838833,low_read
5278,inference_on,16,16,-4.95717307838831,low_read
4447,asymptotically_valid,16,18,-4.9571730783883,low_read
3190,asymptotically_efficient,21,24,-4.95717307838827,low_read
4961,parameter_space,14,17,-4.95659926658028,low_read
4289,of_estimators,18,19,-4.95659907253131,low_read
4164,asymptotic_variance,16,19,-4.95659907253121,low_read
5809,shown_in,15,15,-4.95659907253116,low_read
2805,of_simultaneous,25,27,-4.9565990725311,low_read
3809,linear_model,19,21,-4.95659907253109,low_read
3538,are_allowed,20,22,-4.95659907253102,low_read
3868,squares_and,21,21,-4.95659907253101,low_read
4642,statistic_for,16,18,-4.95659907253097,low_read
4819,distribution_theory,16,17,-4.9565990725308,low_read
3938,an_approximate,18,20,-4.95625082127113,low_read
3448,per_cent,13,23,-4.95625082127048,low_read
2648,factor_price,19,28,-4.95625082127021,low_read
2946,neumann_morgenstern,21,26,-4.95625082127008,low_read
5785,referred_to,15,15,-4.95562701932993,low_read
2903,confidence_sets,15,26,-4.95528156762824,low_read
5648,identically_distributed,15,15,-4.95528156762789,low_read
6233,of_assumptions,14,14,-4.95528156762782,low_read
8995,first_section,10,10,-4.95528156762734,low_read
3976,dependent_variables,18,20,-4.95524091267894,low_read
7577,perhaps_the,12,12,-4.95524091267825,low_read
3429,likelihood_function,14,23,-4.95524091267822,low_read
3463,pure_exchange,21,23,-4.95524091267822,low_read
5046,the_non,17,17,-4.9552409126781,low_read
4725,with_probability,15,18,-4.95524091267806,low_read
6936,sample_performance,13,13,-4.9552409126773,low_read
8251,money_balances,11,11,-4.95507826192461,low_read
6339,system_are,13,14,-4.95507826192454,low_read
5485,utility_in,15,16,-4.95507826192449,low_read
4876,in_regression,17,17,-4.95507826192444,low_read
2757,conditional_moment,18,27,-4.9550782619244,low_read
5072,to_approximate,16,17,-4.95507826192435,low_read
7240,carlo_study,12,12,-4.95507826192431,low_read
4550,likelihood_estimates,17,18,-4.95507826192427,low_read
4181,coefficients_in,18,19,-4.95494578708736,low_read
4923,nuisance_parameters,14,17,-4.95470548010084,low_read
6870,parameter_and,13,13,-4.9542445347911,low_read
3824,normally_distributed,19,21,-4.95424453479073,low_read
4357,the_approximation,17,19,-4.95424453479066,low_read
3202,competitive_equilibria,17,24,-4.95424453479055,low_read
4742,an_approximation,15,17,-4.95424453479034,low_read
5860,the_disturbance,13,15,-4.95424453479031,low_read
3808,limit_theory,11,21,-4.95424334155959,low_read
5443,the_posterior,14,16,-4.95424334155951,low_read
5455,the_walrasian,14,16,-4.95424334155943,low_read
8176,in_view,10,11,-4.95424334155941,low_read
3618,moving_average,19,22,-4.95400489711456,low_read
5212,equations_in,15,16,-4.9540048971144,low_read
6291,property_that,14,14,-4.95386997837941,low_read
6221,neighborhood_of,14,14,-4.95386997837936,low_read
7556,only_be,12,12,-4.95386997837928,low_read
8070,example_in,11,11,-4.95386997837921,low_read
4957,order_autoregressive,16,17,-4.95386997837917,low_read
6944,series_the,13,13,-4.95386997837837,low_read
6280,point_out,14,14,-4.95386997837829,low_read
3253,moment_restrictions,18,24,-4.95386997837824,low_read
4167,be_approximated,19,19,-4.95386997837815,low_read
4575,of_stationary,17,18,-4.95386997837813,low_read
6184,limit_distribution,12,14,-4.95386997837813,low_read
4671,the_moment,17,18,-4.95386997837813,low_read
5178,capital_asset,15,16,-4.95386997837812,low_read
4430,and_asymptotic,17,18,-4.9538699783781,low_read
4559,money_stock,13,18,-4.95386997837809,low_read
7707,the_constant,11,12,-4.95386997837792,low_read
3113,state_space,14,25,-4.95371767176598,low_read
5213,equilibria_the,14,16,-4.95371767176555,low_read
4217,exchange_economies,19,19,-4.95371395811115,low_read
5851,the_autoregressive,12,15,-4.95371395811094,low_read
6647,equations_and,12,13,-4.95371115730539,low_read
8790,available_the,10,10,-4.95371115730462,low_read
9053,have_used,10,10,-4.9536207103572,low_read
6959,space_is,12,13,-4.95362071035686,low_read
6061,demand_deposits,11,14,-4.9532794821684,low_read
5454,the_wald,14,16,-4.95327948216831,low_read
4932,of_generalized,16,17,-4.95310971527674,low_read
6201,matrix_is,13,14,-4.95310971527647,low_read
5098,uniqueness_of,15,17,-4.95310971527228,low_read
6100,for_class,14,14,-4.95310971527224,low_read
5633,function_are,15,15,-4.95310971527221,low_read
5706,mixed_strategies,13,15,-4.95310971527209,low_read
7535,of_regression,12,12,-4.953109715272,low_read
7045,the_vector,13,13,-4.95310971527121,low_read
9421,seen_that,9,10,-4.95309676167322,low_read
7739,the_variances,11,12,-4.95309676167298,low_read
5004,squares_estimators,16,17,-4.95309676167295,low_read
9384,regression_the,8,10,-4.95309676167293,low_read
5335,of_monte,15,16,-4.95309676167277,low_read
5081,to_prove,17,17,-4.95291236557303,low_read
7519,of_bayesian,10,12,-4.95280862644061,low_read
4368,the_parametric,12,19,-4.95250043782834,low_read
7358,function_it,12,12,-4.95250043782817,low_read
5262,implicit_in,13,16,-4.95250043782786,low_read
6097,finite_dimensional,12,14,-4.95248894609452,low_read
4295,of_revealed,15,19,-4.95248894609446,low_read
7319,equilibrium_this,12,12,-4.95248894609443,low_read
7518,of_asymptotic,11,12,-4.95248894609438,low_read
9628,vector_and,9,10,-4.95248894609434,low_read
