phrase_idx,phrase,n_docs,total_count,zeta,direction
2336,participation_in,9,10,5.30648000632413,high_read
2243,evaluation_of,9,10,5.3062724619247,high_read
1837,social_capital,5,12,5.30075907121779,high_read
1918,at_age,5,11,5.30073617313788,high_read
1887,unique_equilibrium,12,12,-5.1002526586431,low_read
2120,the_unit,7,11,-5.09855419741385,low_read
2248,explanatory_variables,7,10,-5.09661897907745,low_read
1222,steady_states,8,16,-5.095238873354,low_read
2267,identified_set,6,10,-5.09420173154481,low_read
2303,of_ambiguity,6,10,-5.0910726740277,low_read
1294,find_no,15,15,2.75282967187176,high_read
1276,compare_the,15,15,2.75282967187162,high_read
885,of_substitution,14,20,-2.66384547028904,low_read
933,incentive_compatible,15,19,-2.6126778302889,low_read
1792,made_by,9,12,2.53000305386397,high_read
1815,panel_of,12,12,2.52807118497729,high_read
2121,their_private,9,11,2.4393361754408,high_read
2021,of_children,10,11,2.43933617544056,high_read
2040,paper_tests,11,11,2.43933600101065,high_read
2022,of_electoral,9,11,2.4393360010102,high_read
465,rational_expectations,23,31,-2.41487911036466,low_read
1296,first_best,11,15,-2.38173310906941,low_read
1301,if_and,14,15,-2.38080669270399,low_read
2300,new_data,10,10,2.33876064325665,high_read
2193,as_they,9,10,2.33876064325664,high_read
2436,unique_data,10,10,2.3387606432565,high_read
2383,study_how,10,10,2.33876064325649,high_read
2179,and_efficiency,10,10,2.3387606432564,high_read
2297,money_and,10,10,2.33876064325632,high_read
2376,spending_is,5,10,2.33848985972112,high_read
2259,habit_formation,5,10,2.33848985972073,high_read
1473,pure_strategy,13,14,-2.31131672098048,low_read
1521,where_is,12,14,-2.3106456450371,low_read
984,we_compare,19,19,2.2849866140796,high_read
1531,and_second,13,13,-2.23542891487628,low_read
1559,consumption_growth,8,13,-2.23484938754891,low_read
1643,risk_free,10,13,-2.23484900812852,low_read
1864,the_intertemporal,9,12,-2.15490577448186,low_read
1728,as_special,12,12,-2.15293980517042,low_read
1860,the_generalized,9,12,-2.15293980517038,low_read
1828,repeated_game,7,12,-2.1523393133204,low_read
1982,implementation_of,11,11,-2.06356301711876,low_read
2154,with_probability,8,11,-2.06304948301341,low_read
2139,unit_roots,7,11,-2.06242260158791,low_read
1972,given_by,11,11,-2.06222926550679,low_read
1971,functions_and,11,11,-2.06222926550678,low_read
1937,contracts_and,11,11,-2.06222926550677,low_read
1999,is_sufficient,11,11,-2.06222926550676,low_read
2060,provided_that,11,11,-2.06222926550674,low_read
1921,be_interpreted,11,11,-2.06222923384225,low_read
2029,of_nonparametric,9,11,-2.06222923384222,low_read
2058,productivity_shocks,8,11,-2.06209726807228,low_read
2080,sufficient_for,10,11,-2.06209724708721,low_read
2089,the_basic,9,11,-2.0620972470872,low_read
2143,utility_and,11,11,-2.06209724708719,low_read
1372,we_do,15,15,2.02818448860055,high_read
1340,risk_taking,8,15,2.0281260696106,high_read
865,equilibrium_the,19,20,-1.96194015410604,low_read
2375,special_cases,9,10,-1.96187920186016,low_read
2441,we_can,9,10,-1.96187919805587,low_read
2356,restrictions_are,8,10,-1.96187919805584,low_read
2295,matrix_of,9,10,-1.96187919805582,low_read
2306,of_cross,10,10,-1.96187919805579,low_read
2222,derived_for,10,10,-1.96187919805577,low_read
2379,states_of,10,10,-1.96187919805576,low_read
2334,parameters_in,8,10,-1.96187919805574,low_read
2207,condition_is,8,10,-1.96183949377141,low_read
2417,the_traditional,10,10,-1.96183949377138,low_read
2208,conditional_moment,8,10,-1.96183949377137,low_read
2258,goes_to,9,10,-1.96183949377136,low_read
2378,state_space,7,10,-1.96183949377136,low_read
2414,the_stochastic,10,10,-1.96183949377135,low_read
2280,innovation_in,8,10,-1.96183949377133,low_read
835,series_of,21,21,1.95114101709943,high_read
1517,using_panel,13,14,1.95113501182236,high_read
1455,no_evidence,14,14,1.95113501182232,high_read
1465,one_third,11,14,1.95113501182205,high_read
1536,application_to,13,13,1.86716099562595,high_read
1528,and_financial,12,13,1.86716042609025,high_read
1537,apply_to,12,13,1.86716042609018,high_read
1611,market_experience,7,13,1.86716042162081,high_read
992,and_only,17,18,-1.84925811307404,low_read
1017,interpreted_as,18,18,-1.849258113074,low_read
943,minimum_wage,6,19,1.83740040849761,high_read
1112,movements_in,15,17,-1.78729105830353,low_read
1140,serial_correlation,9,17,-1.7872850585404,low_read
475,by_percent,25,30,1.77488245985877,high_read
1797,micro_data,12,12,1.77488238916627,high_read
1851,the_amount,11,12,1.77488238916621,high_read
1878,they_do,12,12,1.7748823891662,high_read
1893,well_being,7,12,1.77488234369493,high_read
509,on_average,28,29,1.73527125093197,high_read
665,growth_rate,20,24,-1.72087085702941,low_read
683,the_limit,19,24,-1.72087085702939,low_read
1192,for_any,13,16,-1.72086476471368,low_read
1198,if_there,15,16,-1.72086476471365,low_read
1201,incentive_compatibility,10,16,-1.72086350289575,low_read
1091,factors_that,16,17,1.70790714748193,high_read
1119,of_political,17,17,1.70790714748173,high_read
467,sufficient_conditions,27,31,-1.68578187099977,low_read
424,to_percent,28,33,1.67254779513727,high_read
1945,economists_have,11,11,1.67254779510219,high_read
2114,the_question,9,11,1.67254779510212,high_read
1964,for_several,11,11,1.67254779510199,high_read
2127,to_do,11,11,1.67254779510188,high_read
1947,educational_attainment,7,11,1.67254779367582,high_read
2096,the_endowment,6,11,1.67254779367566,high_read
2081,survey_of,11,11,1.6725477931066,high_read
2123,this_period,10,11,1.67254779310643,high_read
2117,the_right,11,11,1.67254779310598,high_read
1939,declines_in,10,11,1.67254779287174,high_read
2101,the_minimum,8,11,1.67254779287171,high_read
1948,effectiveness_of,10,11,1.67254779287171,high_read
2063,real_exchange,7,11,1.67254779287165,high_read
335,cross_sectional,36,38,-1.66407969230732,low_read
338,risk_aversion,28,38,-1.66407484843065,low_read
478,for_all,26,30,-1.64932107212307,low_read
1362,to_capital,12,15,-1.64931909087117,low_read
1358,the_system,9,15,-1.64931909087113,low_read
1319,of_endogenous,14,15,-1.6493187104392,low_read
1316,nash_bargaining,6,15,-1.64931850372476,low_read
1224,survey_data,15,16,1.6358157938609,high_read
754,capital_accumulation,17,22,-1.62419512995649,low_read
600,suggesting_that,25,26,1.60537013862349,high_read
1481,sets_of,13,14,-1.57182812716739,low_read
1392,are_given,13,14,-1.57182803359373,low_read
1518,variables_and,13,14,-1.57182803359373,low_read
1390,are_considered,14,14,-1.57182803359368,low_read
1488,the_agent's,12,14,-1.57182803359364,low_read
2316,of_nominal,9,10,1.55779113946666,high_read
2286,is_driven,10,10,1.55779113946664,high_read
2234,effects_we,10,10,1.5577911394666,high_read
1315,money_supply,8,15,1.55779113946658,high_read
2178,and_earnings,9,10,1.55779113946655,high_read
2447,weighted_average,7,10,1.55779113946653,high_read
2198,by_examining,10,10,1.55779113946649,high_read
2385,take_the,10,10,1.55779113946646,high_read
2282,is_associated,10,10,1.55779113946645,high_read
2440,way_to,10,10,1.55779113946644,high_read
2205,common_value,7,10,1.5577911394631,high_read
2194,assigned_to,9,10,1.55779113946307,high_read
