Feature,Co-authored,Solo
Modal Verb Strength,5.48,5.965
Hedging Frequency & Type,8.172,8.176
Qualifier Density,8.306,8.122
Acknowledgement of Limitations,8.189,7.947
Caution-Signaling Connectors,8.088,8.583
Assertiveness & Voice,8.324,8.02
Active/Passive Voice Ratio,8.423,6.666
Sentence Length & Directness,5.966,5.697
Imperative-Form Occurrence,1.007,1.024
Pronoun Commitment,6.559,2.8
Novelty-Claim Strength,2.563,2.175
Jargon/Technicality Density,6.901,6.954
Emotional Valence,1.215,1.152
Evidence & Citation Usage,2.185,1.688
Practical/Impact Orientation,3.177,2.384
Readability,7.014,6.554
