,Mean,Std Dev
Modal Verb Strength,5.647,2.973
Hedging Frequency & Type,8.173,1.997
Qualifier Density,8.243,1.781
Acknowledgement of Limitations,8.106,2.49
Caution-Signaling Connectors,8.259,2.406
Assertiveness & Voice,8.219,1.475
Active/Passive Voice Ratio,7.818,2.503
Sentence Length & Directness,5.873,1.997
Imperative-Form Occurrence,1.013,0.182
Pronoun Commitment,5.265,3.586
Novelty-Claim Strength,2.429,2.306
Jargon/Technicality Density,6.919,1.756
Emotional Valence,1.193,0.467
Evidence & Citation Usage,2.014,1.709
Practical/Impact Orientation,2.904,2.095
Readability,6.856,1.335
